frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
46,0.7254323,0.46103296,0.4492349,0.6553835,0.6208369,0.2901714,0.62423444,0.63782763,0.2662596,0.49580806,0.5308592,0.3413217,0.43096596,0.6512474,0.101023875,0.18173473,0.71394384,0.5143866
47,0.72592103,0.46815702,0.3492921,0.65146685,0.6265162,0.2998734,0.640322,0.6308455,0.3301848,0.53478575,0.55161595,0.25710317,0.62813133,0.652575,0.33387458,0.712312,0.7965305,0.41007155
48,0.7205131,0.4707385,0.4332533,0.64053,0.6341647,0.34675258,0.7182325,0.78314394,0.33407182,0.49742424,0.55039966,0.26189893,0.53098,0.6851014,0.0702788,0.18236944,0.71363014,0.47239652
49,0.7292607,0.49632132,0.34004107,0.6415811,0.6365365,0.3947349,0.6217911,0.6444228,0.2587092,0.5113028,0.5542599,0.30099556,0.50776666,0.66552395,0.0774022,0.1833325,0.71394706,0.50326455
50,0.76936454,0.5208299,0.33603585,0.67253083,0.50338286,0.35117415,0.72375035,0.7818428,0.23908828,0.5855926,0.53923404,0.2442276,0.62647605,0.65862,0.46018228,0.715062,0.7941579,0.45925033
51,0.75050825,0.5193386,0.30073696,0.6381645,0.65281755,0.26437753,0.7186564,0.78725356,0.29542574,0.5674404,0.5560206,0.26767364,0.6048831,0.6529396,0.23559302,0.53925484,0.7081685,0.06861101
52,0.7694154,0.5400804,0.25223672,0.68886465,0.50345004,0.31401,0.7680565,0.5613196,0.1616565,0.6026273,0.5696685,0.20181705,0.6859056,0.4999557,0.3389388,0.62149316,0.6705269,0.071384445
53,0.75801253,0.55025375,0.1664979,0.6842432,0.51238036,0.27754277,0.76869076,0.568843,0.17079958,0.5807647,0.58467185,0.21159233,0.5901401,0.63404465,0.15944454,0.7178836,0.7873599,0.29947922
54,0.7602856,0.5770561,0.16765788,0.71618485,0.6293598,0.06889406,0.7214736,0.7892183,0.19972008,0.60468376,0.59406406,0.1851969,0.6205873,0.6366117,0.14681402,0.71914446,0.78928256,0.29022515
55,0.769968,0.6050023,0.22619219,0.71625775,0.6316798,0.08700577,0.72444886,0.7878144,0.21993895,0.6242934,0.59023964,0.18400855,0.6310222,0.6520992,0.19360192,0.7173034,0.79077023,0.30725637
56,0.77272576,0.600881,0.23479663,0.7449734,0.65627706,0.10448487,0.72499645,0.78421247,0.20903713,0.64445233,0.6065042,0.18614621,0.7000773,0.63122094,0.11674233,0.71288985,0.7980454,0.30608827
57,0.79451835,0.6066631,0.2580824,0.7797937,0.6348728,0.14304793,0.77988493,0.60959214,0.1508756,0.66991615,0.6069508,0.17504422,0.7259411,0.6235236,0.13982584,0.71731186,0.797917,0.28843296
58,0.7579807,0.6028494,0.25453728,0.74644876,0.6544927,0.13630222,0.7905154,0.6233032,0.25775117,0.6301053,0.6014707,0.20835759,0.7030659,0.6540971,0.12882139,0.7197033,0.79290044,0.33893445
59,0.75957143,0.5985706,0.2655481,0.734439,0.60739225,0.14961034,0.7812092,0.6155621,0.24205808,0.60500467,0.5945755,0.20912813,0.6518816,0.64616525,0.16266422,0.71304953,0.7941917,0.28032985
60,0.7554192,0.6073915,0.258404,0.74008286,0.6272844,0.14061972,0.7858008,0.62813795,0.25167903,0.6289054,0.59960526,0.19140331,0.6770956,0.64807063,0.1509851,0.7114886,0.79752994,0.2894353
