frame,shoulder_x,shoulder_y,shoulder_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
64,0.4533503,0.38046998,0.69519496,0.5053773,0.61132616,0.7823026,0.40279016,0.7364489,0.5668442,0.45557702,0.8945662,0.70715016
65,0.45054817,0.38663408,0.6618153,0.50511366,0.6187974,0.8128696,0.40695065,0.7353098,0.66316074,0.4552493,0.89647007,0.66883737
66,0.4470778,0.3950783,0.56951016,0.5031291,0.6292971,0.7133823,0.4039168,0.73634124,0.50004435,0.45593473,0.89725256,0.62854874
67,0.44674033,0.39900285,0.52599823,0.50467557,0.62760663,0.7579847,0.4078319,0.7366723,0.6414805,0.45561403,0.89425695,0.63842916
68,0.44693756,0.39884162,0.5272217,0.5046387,0.627549,0.7566082,0.40785998,0.73671025,0.64210385,0.4556077,0.8941884,0.6365944
69,0.4494513,0.40579015,0.58687776,0.50567174,0.6325037,0.76594204,0.40693015,0.7364683,0.61754346,0.45363507,0.89607805,0.66170096
70,0.4477048,0.4135544,0.70994735,0.5040779,0.6352481,0.7804594,0.40630114,0.73546094,0.6307638,0.45540962,0.89592993,0.6345638
71,0.44389433,0.41286463,0.6520928,0.50290906,0.6383438,0.73979044,0.4062853,0.73771167,0.6282202,0.45555723,0.8981859,0.66154754
72,0.44546363,0.41341624,0.4541495,0.50259393,0.6414124,0.7401425,0.40625045,0.73668826,0.6195922,0.4554261,0.8980975,0.6559689
73,0.44663626,0.416538,0.49499846,0.50219077,0.64367557,0.7313989,0.40578806,0.73565555,0.62358385,0.45560062,0.89763516,0.64844245
74,0.44677263,0.4159813,0.49444568,0.5023482,0.64344615,0.7323557,0.40593,0.7356562,0.6229231,0.45572814,0.8977721,0.6468888
75,0.44652504,0.41468447,0.48134965,0.5025034,0.641714,0.74431,0.4065059,0.7378606,0.6334894,0.45614976,0.89945126,0.64235866
76,0.44746667,0.4128947,0.46410236,0.5025866,0.63974,0.7456242,0.4071525,0.7384648,0.62761015,0.45625603,0.9001423,0.62308687
77,0.44494495,0.41396436,0.6575031,0.5031948,0.6346054,0.7764836,0.4074334,0.7392551,0.63763654,0.45610005,0.9005253,0.6325206
78,0.44640905,0.4134451,0.7158256,0.5048386,0.63554054,0.7889577,0.40680194,0.7378949,0.6364793,0.45529038,0.89817035,0.6429403
79,0.4449113,0.41036117,0.73468107,0.50696045,0.6283016,0.7568669,0.40721393,0.7373676,0.6427705,0.45635208,0.89879704,0.5784859
80,0.4453226,0.41081488,0.7285199,0.5069617,0.6287196,0.75826573,0.4071989,0.73746103,0.6434025,0.4564459,0.89865774,0.5787254
81,0.4481716,0.4072897,0.5713681,0.5038478,0.6294512,0.7412016,0.40718204,0.73490965,0.62232345,0.45611078,0.8954791,0.590479
82,0.45200634,0.39359814,0.58450806,0.5050416,0.62278724,0.7994038,0.4059903,0.7373841,0.68542844,0.45275232,0.89743245,0.68912375
83,0.44984668,0.38685912,0.6422772,0.50482965,0.61191916,0.7946358,0.40624648,0.7343396,0.6886808,0.45523554,0.8962424,0.68943536
84,0.45566007,0.37432694,0.68264955,0.50350046,0.60218984,0.77291346,0.40602553,0.733845,0.7203365,0.45511422,0.8976189,0.67414093
