frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
38,0.5193941,0.6026706,0.4199821,0.57252663,0.77200675,0.3594642,0.54586136,0.8738053,0.22994006,0.38794455,0.8893621,0.49151817,0.520097,0.6045745,0.41854692,0.56345105,0.76314014,0.48108098,0.35543567,0.75304365,0.306321,0.39051184,0.885535,0.37226152
39,0.5214765,0.6031041,0.4288306,0.5721996,0.77343625,0.3864442,0.34075558,0.7557086,0.47954148,0.38674614,0.88756645,0.58289963,0.5175813,0.6039372,0.42228705,0.56589043,0.7641995,0.4837719,0.5425056,0.8694772,0.2305146,0.3915021,0.88337016,0.34938365
40,0.52365506,0.60395306,0.42728543,0.57268494,0.7728518,0.37083778,0.34218013,0.7576109,0.41871667,0.38682652,0.8877989,0.5420536,0.51635015,0.6045331,0.42228383,0.5623243,0.7635393,0.48646405,0.3421534,0.7547702,0.38527745,0.38992724,0.8832375,0.37025586
41,0.5141909,0.6007812,0.39373302,0.5785483,0.7629856,0.5091688,0.3384735,0.7541267,0.5077683,0.38518304,0.8879074,0.6046555,0.5184042,0.59884065,0.3267513,0.57056713,0.761884,0.4108898,0.5550578,0.87254393,0.40976125,0.7314285,0.8322992,0.33287382
42,0.5213622,0.60633945,0.3879513,0.570081,0.7696149,0.32582718,0.34125683,0.7527897,0.48168144,0.38590515,0.8888561,0.5522275,0.51871693,0.6014903,0.3217409,0.56706667,0.76782143,0.32639408,0.56004393,0.8738601,0.373501,0.7348904,0.8320066,0.27307412
43,0.5162974,0.59937733,0.42589933,0.5810679,0.76457924,0.5039294,0.34193808,0.7537861,0.47535163,0.38711333,0.8890228,0.56039965,0.5115489,0.5906477,0.3844225,0.5664747,0.76250434,0.46154848,0.55512595,0.87392396,0.34722048,0.7326627,0.83274746,0.31665164
44,0.5208916,0.59459263,0.4822076,0.5806757,0.7618424,0.54570013,0.5568974,0.86720276,0.30206227,0.38846323,0.88762665,0.4449422,0.51992816,0.5924893,0.5305976,0.56412256,0.7603211,0.4935107,0.3432219,0.7497174,0.3793067,0.3894108,0.8839394,0.42125967
45,0.5366112,0.5896393,0.35692117,0.5716293,0.7562163,0.42378703,0.55309033,0.8623089,0.33153254,0.38887614,0.8875796,0.4605155,0.51706463,0.5920925,0.46031815,0.54869807,0.75520104,0.43944868,0.34464002,0.7472997,0.35609314,0.38974687,0.88366413,0.43007937
46,0.53548574,0.588286,0.3442306,0.57258797,0.75656617,0.424836,0.55318224,0.8618309,0.32592478,0.3885637,0.88705105,0.47069976,0.5158882,0.5907757,0.4449391,0.54958516,0.75523555,0.4406484,0.35320705,0.7472541,0.3212506,0.38932,0.8833009,0.43229595
47,0.5256513,0.5593633,0.28245834,0.57730085,0.7208745,0.49287713,0.55368435,0.8609308,0.4262962,0.74261755,0.8297755,0.32369485,0.5191034,0.56621057,0.30924326,0.5443967,0.7268982,0.37420532,0.35559046,0.7380061,0.3021967,0.3884915,0.88494027,0.36554736
48,0.56777394,0.5599304,0.46255663,0.5889776,0.73286927,0.51113045,0.54742163,0.85340065,0.4320885,0.39139593,0.8879551,0.43680036,0.49662387,0.56367284,0.49297863,0.54321814,0.73403287,0.5334358,0.3561501,0.73668575,0.45990118,0.38870257,0.88250375,0.4554481
49,0.547952,0.55191344,0.41138065,0.6022888,0.70412946,0.46988815,0.5556955,0.84576863,0.30781096,0.38035578,0.879181,0.39960378,0.46449268,0.5594386,0.5216901,0.5619513,0.7152624,0.37875706,0.35967717,0.7236823,0.36512506,0.38063204,0.87604135,0.38023174
50,0.53379416,0.54352534,0.52027196,0.6011094,0.70422405,0.5976367,0.5649381,0.8392381,0.5236699,0.7716889,0.8238913,0.5295157,0.47197568,0.5602616,0.4488853,0.5610516,0.71831197,0.52391994,0.38013563,0.73007435,0.5902027,0.37989527,0.87534827,0.61113334
51,0.5847578,0.53516674,0.4901215,0.5990398,0.7137594,0.5482142,0.5671673,0.82532775,0.61632204,0.77412957,0.82897013,0.47348753,0.5432004,0.54458326,0.42667466,0.56087,0.71723604,0.542025,0.40396404,0.7320863,0.5321001,0.38299608,0.88188064,0.67478406
52,0.586456,0.534057,0.5291827,0.6004237,0.71333253,0.56070894,0.56710845,0.82553554,0.623241,0.77455014,0.82860756,0.4904485,0.5440159,0.54498684,0.46968034,0.57125175,0.7180094,0.5601288,0.40325922,0.73211503,0.5819935,0.38327,0.88249254,0.69807357
53,0.6034498,0.5283339,0.45018023,0.6206409,0.7010543,0.5835072,0.5778927,0.819189,0.50403327,0.78009814,0.82929933,0.44676834,0.5398911,0.5260408,0.40413442,0.5619574,0.7012169,0.54037476,0.41786647,0.7357509,0.49056253,0.38417166,0.8824713,0.63617826
54,0.63509434,0.5210749,0.32499114,0.64149845,0.6908591,0.4768579,0.58097047,0.8010983,0.25274098,0.7770948,0.82565683,0.37214416,0.5621196,0.5251272,0.3136165,0.590778,0.69292855,0.39572838,0.45151967,0.73030275,0.3694762,0.38795477,0.8782772,0.4088137
55,0.6509019,0.49757358,0.35283008,0.66160905,0.6692931,0.4575937,0.510151,0.741552,0.24690866,0.39824998,0.8800497,0.34734735,0.5909395,0.49200937,0.36903998,0.61793303,0.67307293,0.3747972,0.56147504,0.7886933,0.10448934,0.40232372,0.88151884,0.2640056
56,0.652994,0.47658634,0.40516168,0.6796453,0.64544415,0.4399169,0.5362174,0.7332351,0.39954612,0.42294618,0.87624305,0.39546415,0.59638757,0.4670708,0.41598296,0.6613674,0.6515317,0.38089097,0.620911,0.77500075,0.22792928,0.79246116,0.82624215,0.4183681
57,0.6937872,0.46714538,0.41217688,0.70885324,0.63620687,0.41766167,0.6384207,0.7547149,0.4244246,0.79188025,0.82876885,0.3299251,0.6212826,0.47640145,0.30883157,0.6532624,0.646286,0.48997998,0.56885695,0.73650783,0.5714613,0.44352794,0.87362355,0.5213927
58,0.6925353,0.46734023,0.4061807,0.70870703,0.6358527,0.40886214,0.64024466,0.75545216,0.4311979,0.7913257,0.82903785,0.33489406,0.6202153,0.47676402,0.30776188,0.6523715,0.64572334,0.4795226,0.56887394,0.7361684,0.59066993,0.44393933,0.8736061,0.54976654
59,0.7061903,0.46634588,0.40789834,0.7203777,0.63269925,0.53683406,0.66566056,0.7381798,0.48036838,0.80409354,0.82479084,0.3075996,0.6593196,0.46361503,0.38234308,0.675122,0.63860947,0.42252865,0.5916938,0.7248806,0.3440985,0.4719792,0.8709185,0.38267043
60,0.72171754,0.47181273,0.42051947,0.7198204,0.63266075,0.54982036,0.61202526,0.72754806,0.35072976,0.5160045,0.87344515,0.5056932,0.68885875,0.4685918,0.36896455,0.71378684,0.6320394,0.45035392,0.67854357,0.7306838,0.3857937,0.80758345,0.82751817,0.4593833
61,0.72472143,0.4611617,0.4015756,0.738384,0.61694396,0.52717346,0.63775605,0.71825194,0.41923884,0.5604379,0.8664148,0.48884356,0.70775145,0.46244955,0.35387212,0.7443727,0.6182154,0.34079808,0.6912496,0.7258074,0.32770738,0.8087749,0.8318204,0.4315356
62,0.7466685,0.45507893,0.43993038,0.764477,0.614828,0.52480924,0.71408814,0.71690285,0.57066137,0.82205075,0.83120775,0.382131,0.71545434,0.4555007,0.37591112,0.7255704,0.61371696,0.484595,0.6343195,0.6979148,0.50583076,0.61625683,0.8531804,0.52975297
63,0.75319123,0.44820353,0.4216187,0.76543796,0.6108358,0.5144979,0.664778,0.7152363,0.49395424,0.6872548,0.8577244,0.39900506,0.74097395,0.4464444,0.4296067,0.77068555,0.6101252,0.38672638,0.7006799,0.7139368,0.27874362,0.8262106,0.8328421,0.45349726
64,0.75227344,0.4483148,0.4352596,0.7696265,0.60903335,0.41808975,0.66311085,0.7146033,0.48551565,0.68501616,0.8570279,0.45264962,0.7398577,0.4463278,0.42719832,0.78138345,0.6095189,0.38879284,0.70510375,0.71403426,0.3225586,0.8273644,0.8313329,0.48258883
65,0.7547579,0.44409204,0.5568814,0.77690357,0.60461324,0.45743603,0.6673373,0.7070312,0.5979938,0.7320913,0.8443116,0.56160605,0.7518096,0.4401848,0.41493416,0.79955244,0.605013,0.3806463,0.7244288,0.71629107,0.37648258,0.8247609,0.82673115,0.48436147
66,0.7674173,0.4468692,0.50872064,0.7959491,0.6116115,0.5801915,0.72346014,0.71428436,0.35107607,0.81405866,0.8468933,0.42625758,0.7549302,0.44646227,0.46947008,0.77998894,0.6110356,0.46891314,0.68304086,0.70189255,0.53745735,0.77334255,0.8286859,0.27548885
67,0.7801132,0.45512852,0.5696703,0.7944708,0.6128892,0.53501976,0.7338972,0.7148947,0.42745876,0.8318503,0.8451692,0.41751578,0.763762,0.4532982,0.44810864,0.7796875,0.6149343,0.3203306,0.6994581,0.70508265,0.5293822,0.8126912,0.82539093,0.3660026
68,0.7855823,0.4680117,0.39415732,0.79829884,0.622761,0.47751176,0.7490291,0.7198372,0.49298608,0.8350518,0.8471123,0.39192224,0.74204105,0.4688531,0.2714615,0.76222795,0.6280138,0.41105095,0.7162467,0.7181279,0.4993279,0.813996,0.83022285,0.3410946
69,0.7924441,0.5328503,0.26989868,0.7931954,0.6747217,0.44835815,0.76527566,0.73638475,0.2145353,0.83740723,0.8527863,0.36250183,0.7870053,0.5211077,0.26667824,0.7752037,0.6706194,0.36785948,0.7568675,0.7339777,0.31029782,0.8297354,0.82842606,0.40149197
70,0.79247236,0.53186417,0.2569981,0.7948374,0.675827,0.44809216,0.75996274,0.73417485,0.29655996,0.8387117,0.85217106,0.35554254,0.7811718,0.52150095,0.26117587,0.7724811,0.67175543,0.37657022,0.7574567,0.73307484,0.30421495,0.8222699,0.8282683,0.30892813
