frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
24,0.5164568,0.33463928,0.66868746,0.5969093,0.29612043,0.61176455,0.61791193,0.25119543,0.77120435,0.514166,0.5193784,0.6367095,0.5330107,0.6468455,0.8045209,0.5651629,0.7650871,0.7141749,0.43374094,0.35028106,0.6249723,0.38125587,0.32979858,0.42812937,0.3089362,0.26383173,0.51997864,0.45615792,0.52055895,0.6537173,0.4269567,0.6412737,0.7716931,0.41105407,0.7531623,0.69978017
25,0.5195614,0.34731036,0.67748046,0.5802707,0.28869414,0.5746857,0.60952306,0.23861425,0.4284912,0.5129745,0.51913655,0.554761,0.53376156,0.6472623,0.75347024,0.56615686,0.7650535,0.6518436,0.4364621,0.3538836,0.6508163,0.38890955,0.31883252,0.61311144,0.33667123,0.24763417,0.6177943,0.45429954,0.5210941,0.566823,0.42619568,0.6466405,0.66237015,0.40458196,0.7593868,0.7072583
26,0.51558375,0.35692197,0.6421607,0.57192415,0.2926638,0.52568,0.5889944,0.22878586,0.58744735,0.5139367,0.5224724,0.5901543,0.53330415,0.6476888,0.7659358,0.5662619,0.7635347,0.68486273,0.43960708,0.3633252,0.6748786,0.38794053,0.3104493,0.5182229,0.35247177,0.23806974,0.5765197,0.4563694,0.5233326,0.60889107,0.42806804,0.6432042,0.71451926,0.4059468,0.75833505,0.75667375
27,0.504205,0.37150878,0.41613185,0.5507865,0.291336,0.30453008,0.56523085,0.23242866,0.31290144,0.51452833,0.5271921,0.47381058,0.5349245,0.6476063,0.45552388,0.5725794,0.7714843,0.49671245,0.4537298,0.3840456,0.496234,0.4665241,0.30237466,0.28515717,0.37533784,0.24385893,0.5354806,0.46575826,0.5299299,0.5821509,0.42692488,0.65297127,0.6015258,0.40563625,0.7637524,0.59249264
28,0.507022,0.37055212,0.42315742,0.5608531,0.28943688,0.31240067,0.56554407,0.23074238,0.3614978,0.5154051,0.5281514,0.4946395,0.53574663,0.6475757,0.45935035,0.5728513,0.7710223,0.5238618,0.45289087,0.38312957,0.5165788,0.40737948,0.3093284,0.33630183,0.37414393,0.24181628,0.56521726,0.46401113,0.5297301,0.581199,0.42681286,0.65334904,0.6240695,0.40446728,0.7647315,0.6162568
29,0.48308882,0.3807883,0.3520035,0.5472357,0.31594774,0.35233536,0.5561478,0.25219724,0.24449879,0.50463605,0.5392527,0.4462478,0.5273918,0.6559597,0.5061376,0.57276756,0.7666049,0.36390635,0.48505688,0.38232705,0.40382078,0.52483,0.34366116,0.25309914,0.51556885,0.3056091,0.14997995,0.4870584,0.53991,0.47228155,0.5190773,0.655495,0.3532839,0.5689951,0.76368654,0.41478583
30,0.46518475,0.38187763,0.43416578,0.4743697,0.30273336,0.2538671,0.41249055,0.24755274,0.36698678,0.4808255,0.5354815,0.46113354,0.43314117,0.65690786,0.6037831,0.4063879,0.7688948,0.531907,0.5028243,0.3791765,0.47182786,0.55339086,0.30905694,0.36566254,0.53593147,0.23999038,0.33555377,0.50353354,0.5402874,0.53677386,0.5267117,0.6520284,0.61895275,0.56989145,0.76604295,0.5872845
31,0.4735207,0.38601977,0.27528855,0.48472005,0.43639323,0.19198039,0.49579662,0.39579841,0.09135144,0.50134754,0.52960974,0.4854903,0.47634897,0.6432333,0.2694003,0.40994138,0.7646457,0.4907532,0.4865991,0.38959596,0.30891544,0.5123055,0.4582528,0.16417862,0.50935376,0.42677388,0.11176229,0.50370634,0.5331522,0.483368,0.52137804,0.646553,0.49663377,0.56691843,0.7681732,0.47272032
32,0.4911228,0.39741012,0.2796455,0.5024015,0.48383003,0.21911472,0.517406,0.49968415,0.19357572,0.50464875,0.5336339,0.44209683,0.48628795,0.6454785,0.22516267,0.55936253,0.7621522,0.2758788,0.46641976,0.402364,0.3744008,0.47461483,0.49493587,0.21699978,0.4865789,0.5046759,0.1353969,0.48454815,0.5414032,0.47786745,0.51832,0.6489389,0.38139537,0.5599471,0.7602519,0.34647125
33,0.48135003,0.39336,0.29226938,0.49809313,0.48647436,0.20106588,0.50317436,0.49906617,0.14151804,0.50086147,0.52803594,0.39810902,0.5103123,0.6450619,0.33275557,0.56053716,0.7690096,0.3151947,0.47611043,0.39516985,0.30485037,0.4951291,0.48224324,0.15398625,0.4999677,0.48527038,0.10596781,0.48855254,0.52976304,0.46103072,0.5160949,0.64357686,0.34417084,0.5572642,0.76076406,0.30253354
34,0.48135668,0.39485365,0.2993935,0.48843342,0.48266625,0.2224611,0.5055171,0.4886622,0.14184745,0.50035083,0.5292604,0.39652643,0.5033714,0.64275223,0.22967839,0.5613674,0.76888317,0.32450345,0.47631365,0.39763236,0.32184532,0.49448663,0.48204035,0.17181121,0.50149935,0.48718637,0.117992036,0.488386,0.53085184,0.46611905,0.5154462,0.64400315,0.31951803,0.55689454,0.76123536,0.2985655
35,0.48193395,0.3890292,0.27516556,0.49173614,0.47898656,0.21787517,0.5114391,0.49234498,0.15907827,0.49682498,0.5323485,0.42658854,0.519866,0.65104717,0.406225,0.564755,0.7724774,0.33387008,0.4766209,0.39176244,0.26040575,0.49310255,0.4806279,0.19088854,0.48092687,0.5165274,0.28908765,0.48331255,0.53402257,0.45952708,0.48416227,0.6492561,0.21186966,0.4086851,0.76486653,0.44624105
36,0.4817855,0.3969649,0.30997673,0.49964973,0.4671545,0.20118025,0.49406713,0.43254352,0.09842197,0.5053866,0.54259396,0.3736906,0.5265581,0.6519294,0.48010883,0.5680525,0.7729367,0.30814573,0.4693271,0.40302905,0.35908046,0.4926194,0.48418427,0.17902438,0.48599607,0.45930254,0.09506613,0.4830304,0.54323846,0.44931355,0.4839059,0.649535,0.25159362,0.56674623,0.76668113,0.3499883
37,0.48102123,0.3781948,0.36052692,0.4979409,0.4636012,0.19384612,0.51362556,0.47342914,0.120101854,0.50147575,0.5305784,0.5084573,0.48221263,0.6416434,0.26406893,0.41191286,0.76732486,0.5098802,0.48345718,0.381832,0.3946238,0.49775526,0.47909412,0.17117026,0.5128962,0.47253984,0.096179865,0.49001715,0.5335252,0.5680959,0.5203533,0.64123887,0.40338296,0.565496,0.76868236,0.40400577
38,0.45787615,0.36940676,0.35799327,0.46718237,0.41849816,0.23945965,0.4858486,0.40243065,0.1201992,0.48702607,0.5273012,0.5374436,0.44880852,0.6444048,0.5380205,0.4117552,0.77010024,0.56425595,0.5029683,0.36251795,0.42100623,0.52473664,0.43502426,0.16544685,0.5098325,0.43637985,0.11001905,0.50310826,0.5333754,0.5163581,0.5235648,0.6428771,0.5075932,0.56964886,0.77697086,0.48105985
39,0.45079777,0.3791241,0.27901128,0.46978018,0.41019434,0.23233764,0.47385034,0.35666212,0.15760764,0.49027058,0.53033495,0.5038981,0.48146662,0.6452335,0.26260158,0.41392717,0.7694127,0.44527215,0.5088487,0.37770253,0.36585364,0.53113747,0.43064147,0.2049162,0.5160152,0.36875713,0.12048823,0.5159694,0.54011095,0.38722864,0.5217943,0.6453317,0.42237365,0.5679949,0.77449864,0.46575654
40,0.4412907,0.3816296,0.35697198,0.4679347,0.40853494,0.22417395,0.47222218,0.3542757,0.15141654,0.4873982,0.52964735,0.49937993,0.47876346,0.6455148,0.26396424,0.41321945,0.7695624,0.47123325,0.51041704,0.3774937,0.36622438,0.533251,0.4292221,0.19372232,0.520191,0.3468929,0.15718268,0.5201233,0.539621,0.43080023,0.52369374,0.6457048,0.44619617,0.56820905,0.7742685,0.46712035
41,0.4712245,0.3899644,0.24752134,0.48467427,0.45516104,0.21274325,0.5049837,0.46581075,0.12700178,0.5055059,0.53054523,0.3973898,0.52156377,0.64328057,0.49330804,0.56390464,0.7612018,0.36484608,0.4868374,0.39326972,0.31879294,0.4999486,0.47514892,0.16853121,0.5036366,0.48512936,0.12115715,0.4962579,0.5391334,0.33922553,0.5154129,0.64152616,0.2661804,0.5597606,0.7586915,0.32087862
42,0.50247777,0.3775525,0.3585746,0.54681975,0.34654996,0.24742368,0.52445424,0.3528204,0.14497302,0.5202036,0.52589154,0.4687239,0.52902514,0.64048797,0.45101872,0.56229955,0.7594371,0.45946085,0.45663744,0.38471717,0.275856,0.4361814,0.3796578,0.16670589,0.42806184,0.3547959,0.13085537,0.4765298,0.525542,0.41911796,0.4526657,0.64121294,0.51772374,0.42591333,0.75713867,0.5103634
43,0.5126675,0.37183496,0.3053785,0.56568253,0.33286914,0.18227537,0.57776415,0.30615562,0.15822311,0.5180354,0.5235288,0.44077,0.53049725,0.6397644,0.6441931,0.56173235,0.7575282,0.54566205,0.46020234,0.37352023,0.41043195,0.3946553,0.34752664,0.3962371,0.36017483,0.2860787,0.25671855,0.46813056,0.5183637,0.42039979,0.44950053,0.63800025,0.4644793,0.42468092,0.7541652,0.5675826
44,0.513978,0.3639804,0.2700915,0.58586085,0.31211066,0.19623877,0.59997314,0.30114317,0.22412623,0.5185359,0.5272101,0.5376614,0.533743,0.6428564,0.67741126,0.56138307,0.7671783,0.5281401,0.44996294,0.37433562,0.40526438,0.39280862,0.3549006,0.37658778,0.32843962,0.30252236,0.3319483,0.46785927,0.5237475,0.53025305,0.45229876,0.63844526,0.6381865,0.42573297,0.769685,0.6400634
45,0.5196303,0.35451707,0.5165892,0.5947483,0.33078623,0.32451412,0.6244086,0.30200458,0.53783906,0.5148394,0.5240188,0.54871905,0.53191996,0.6435578,0.6973121,0.5531342,0.76723933,0.63191414,0.45325786,0.36624438,0.6238041,0.37609816,0.36174864,0.44147843,0.32000828,0.32464352,0.31373394,0.46255463,0.52334654,0.5935944,0.45023447,0.6397301,0.69192404,0.4347291,0.7626947,0.6611249
