frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
41,0.5141623,0.586831,0.42145365,0.55525106,0.7580804,0.38915828,0.35064298,0.7540761,0.42857668,0.37967682,0.89377475,0.44938925,0.5797008,0.5828381,0.34506372,0.60631,0.75866306,0.37121156,0.55701315,0.8702392,0.41452393,0.72538507,0.8429591,0.22576824
42,0.502775,0.5922496,0.483556,0.5571225,0.7599058,0.44861093,0.3426474,0.75289226,0.4799841,0.38034427,0.8967683,0.5140747,0.5671293,0.5840948,0.45815444,0.61330444,0.76182246,0.4820603,0.5495616,0.8695718,0.52717334,0.7320582,0.8444848,0.25251362
43,0.5088549,0.5977419,0.4699349,0.56027776,0.76652825,0.3662663,0.33978254,0.75144494,0.49757788,0.38019848,0.89556974,0.5196502,0.5679134,0.59238183,0.43668005,0.60889816,0.76435846,0.4448929,0.5527409,0.8669218,0.41201833,0.72574115,0.8445908,0.24491955
44,0.4936235,0.6013149,0.42224205,0.5581585,0.771387,0.42985994,0.34220546,0.75460386,0.5409928,0.3826006,0.8946636,0.48683524,0.56329364,0.59729993,0.52757543,0.6152496,0.7721015,0.5160581,0.54711646,0.8668431,0.42641512,0.72061014,0.8467376,0.2704869
45,0.49369746,0.6014879,0.42549002,0.5581299,0.771526,0.42945194,0.34235603,0.7546183,0.540439,0.3828147,0.8944315,0.4851896,0.5633527,0.59738886,0.5301616,0.61507666,0.77230954,0.5157625,0.5473304,0.866944,0.42479038,0.7207266,0.84678334,0.27008203
46,0.49237323,0.6007794,0.35413322,0.56372726,0.7622368,0.4285257,0.3423935,0.7520212,0.5050739,0.38165486,0.89430946,0.49833974,0.53765976,0.59458935,0.42826176,0.6075145,0.7605357,0.4219761,0.540926,0.8673003,0.43309402,0.7146028,0.84442365,0.24909404
47,0.48765993,0.6059053,0.413986,0.5597153,0.76767874,0.36965224,0.34100565,0.7503709,0.51237786,0.38068956,0.89340854,0.44874078,0.5439616,0.60118693,0.42345518,0.60173786,0.76449513,0.47456223,0.5372733,0.86513484,0.38239703,0.70849836,0.8414335,0.2038391
48,0.4884121,0.6117288,0.45316765,0.56148016,0.7719847,0.404733,0.34040523,0.7506653,0.5245469,0.3806125,0.8912401,0.3987505,0.53346837,0.60430074,0.34153312,0.60109556,0.7677089,0.46225485,0.5372053,0.8639511,0.40145472,0.7073538,0.8404809,0.18261662
49,0.4811669,0.6084713,0.49213424,0.5571117,0.7736425,0.43768337,0.34066397,0.7501454,0.54584306,0.3809505,0.89013475,0.43356654,0.54844946,0.60472965,0.44466776,0.60638356,0.771078,0.38211066,0.54022586,0.85824907,0.2743616,0.70897543,0.84119725,0.18595664
50,0.4876855,0.61276144,0.4598648,0.5601413,0.7725455,0.4090141,0.3402787,0.7495787,0.52823955,0.38264248,0.88959545,0.4182356,0.536029,0.6068308,0.36712196,0.60492975,0.76827466,0.4601743,0.5456924,0.85766596,0.33310986,0.70814276,0.84000564,0.19753402
51,0.4878264,0.6126068,0.46024328,0.5602486,0.77233243,0.40680704,0.34029657,0.74959075,0.5274354,0.38274264,0.88967407,0.42036358,0.5357461,0.6065224,0.36418653,0.6049808,0.76813734,0.46102253,0.54578257,0.85794747,0.33502114,0.70775294,0.8398771,0.20328292
52,0.48592335,0.6136668,0.46354234,0.5592485,0.7707793,0.39946336,0.33964467,0.7512702,0.55422634,0.3845082,0.89202636,0.45107335,0.5320221,0.6051805,0.3570501,0.6045545,0.7656371,0.47298488,0.539997,0.862605,0.3122115,0.7104556,0.8401371,0.20814246
53,0.5042036,0.610798,0.46279928,0.5633012,0.76442254,0.30235106,0.33831665,0.7514798,0.5084778,0.38560507,0.8973088,0.47796413,0.52969664,0.6014309,0.4367226,0.5906922,0.75896037,0.30349097,0.54252905,0.8719086,0.36985484,0.71827066,0.83967566,0.22701482
54,0.5027117,0.6105404,0.47676882,0.5631249,0.76669896,0.32823247,0.3408605,0.75084746,0.505234,0.38394624,0.89353484,0.43721157,0.5300698,0.5991374,0.45279384,0.6015254,0.7613102,0.38617465,0.54389554,0.8650726,0.39269286,0.7149653,0.83707917,0.21029651
55,0.5041068,0.6080449,0.4415508,0.5651785,0.7705214,0.32383248,0.3415291,0.7496369,0.46329543,0.3817032,0.8939022,0.41284105,0.53690714,0.59899133,0.36844882,0.6034026,0.7628286,0.35610268,0.548496,0.86159,0.40063635,0.724455,0.8366167,0.2355503
56,0.49490792,0.5928363,0.40787822,0.54883146,0.751927,0.3255731,0.35230643,0.7464292,0.38126418,0.3789152,0.8945198,0.4273283,0.5536016,0.5852143,0.31450266,0.60651064,0.7458129,0.40704238,0.5453435,0.8613867,0.36216778,0.71741164,0.8359308,0.20665036
57,0.49492523,0.5928265,0.40910333,0.54857427,0.7520164,0.32894862,0.35246083,0.7462284,0.38164127,0.37899408,0.8944573,0.42707664,0.55377775,0.585173,0.31446418,0.6065887,0.745929,0.4067942,0.5453186,0.8614635,0.3615161,0.7166192,0.83622265,0.20295542
58,0.50387776,0.5849093,0.39067414,0.54828185,0.739442,0.41892722,0.3572702,0.75000733,0.39554238,0.3814172,0.896774,0.48866603,0.5724206,0.58205545,0.44034454,0.60331464,0.7382073,0.4176333,0.5477034,0.8613187,0.48097572,0.7220576,0.8299091,0.137068
59,0.4983854,0.5789129,0.4490675,0.5580591,0.7367848,0.45157158,0.37267387,0.74268377,0.44115028,0.3843566,0.88782233,0.55780274,0.58094907,0.5676096,0.40353152,0.6243252,0.733587,0.4272031,0.55427504,0.85327804,0.45776105,0.7241154,0.83244073,0.19012816
60,0.517752,0.5709468,0.43089858,0.5588676,0.73219126,0.3492533,0.3731609,0.7401507,0.43232462,0.38434726,0.88726205,0.55488205,0.60791326,0.5721988,0.40520048,0.62999004,0.73259443,0.35638902,0.56147933,0.8523958,0.4041699,0.7324445,0.8338245,0.16522405
61,0.52709633,0.5578974,0.5089245,0.5818795,0.72043824,0.46921298,0.38366863,0.73867506,0.53556293,0.38368016,0.8852278,0.5256684,0.61134017,0.5526069,0.41056725,0.64421225,0.71796083,0.4781342,0.5702839,0.83699334,0.34550858,0.7407259,0.83298224,0.25139478
62,0.54249513,0.54899335,0.44449297,0.5899731,0.7136609,0.43632984,0.39830276,0.73843044,0.5353809,0.38331115,0.88980883,0.626292,0.61983305,0.5450403,0.4098484,0.64449704,0.71278703,0.38261992,0.5721657,0.8262011,0.3310569,0.74701375,0.8310587,0.2642572
63,0.541876,0.54892325,0.44211873,0.58961177,0.71378624,0.43733308,0.39814246,0.73840785,0.5372536,0.38327,0.88972914,0.6254263,0.6202804,0.54495895,0.40949044,0.6445489,0.71297926,0.38124463,0.57208323,0.82609004,0.33308622,0.74701285,0.83103025,0.26461074
64,0.5599842,0.5435995,0.3935858,0.60092485,0.6971767,0.41800717,0.4179804,0.74412227,0.46996412,0.38079342,0.889415,0.62339395,0.61548996,0.53898335,0.43918368,0.647202,0.69490886,0.3998616,0.57625484,0.8125126,0.34419385,0.7494766,0.8307099,0.31697255
65,0.58610785,0.5230231,0.37708455,0.620846,0.6774559,0.46333054,0.45388338,0.7399756,0.43642673,0.38602254,0.88365424,0.69076663,0.6392163,0.5227431,0.43803835,0.66570365,0.6769025,0.47902542,0.58996964,0.80627173,0.32740605,0.7662355,0.83311653,0.41415018
66,0.6031784,0.5054772,0.34738898,0.6437626,0.661714,0.39438882,0.492849,0.7384803,0.48124307,0.4027875,0.8814851,0.63594913,0.6567686,0.5052427,0.4310739,0.7010956,0.6592262,0.5359873,0.6045598,0.798231,0.30472666,0.7733583,0.8284671,0.43883505
67,0.62826276,0.4961761,0.31679463,0.6668371,0.64990973,0.4682534,0.5350761,0.7356719,0.51262957,0.42189604,0.8755015,0.5191094,0.69120306,0.49423465,0.38399634,0.72025394,0.64581907,0.45011723,0.63132095,0.778836,0.19927953,0.7842765,0.8319297,0.504928
68,0.6523806,0.4878946,0.48500106,0.6869826,0.6294167,0.4820514,0.56398696,0.7293887,0.41343123,0.44208035,0.8748252,0.5092311,0.6974368,0.47676617,0.37321666,0.7414988,0.62784445,0.45542803,0.6554684,0.75402856,0.24376334,0.7894765,0.83422565,0.44360393
69,0.65251553,0.48791212,0.4849933,0.6870934,0.62948155,0.4809532,0.564059,0.7295345,0.41620517,0.44203985,0.8748455,0.50852394,0.69754213,0.4770155,0.37646034,0.74146473,0.6280266,0.45624667,0.65547407,0.7542815,0.2451095,0.78968066,0.8345496,0.4367827
70,0.7080361,0.4695269,0.296292,0.71351784,0.61991066,0.39517468,0.5874604,0.7256827,0.45316243,0.46443495,0.87009466,0.45417324,0.6721524,0.48147798,0.33108142,0.69602776,0.62730926,0.40845817,0.6472838,0.74095225,0.2599623,0.8004272,0.83234423,0.40279156
71,0.7164249,0.4765553,0.41560706,0.73918176,0.6190469,0.3907769,0.65697837,0.72125816,0.30802053,0.80991197,0.82614875,0.36913106,0.6982338,0.48126468,0.3104157,0.7096798,0.627429,0.43867955,0.60257727,0.7198548,0.50212395,0.5109645,0.8729912,0.40109926
72,0.7206899,0.46176714,0.37727278,0.7457707,0.6133807,0.48728138,0.6203188,0.7175855,0.6042138,0.56134653,0.8681135,0.47940624,0.69349736,0.46545672,0.38345602,0.7463376,0.61481047,0.4520678,0.69724107,0.72643566,0.3091209,0.8138536,0.8341898,0.383914
73,0.72523355,0.45827326,0.3572963,0.7635383,0.60148484,0.4264848,0.6488161,0.71453464,0.38402554,0.8194656,0.82926404,0.27144033,0.7040479,0.45966995,0.35669756,0.74742436,0.60670894,0.414337,0.65060234,0.7158389,0.29174858,0.6257083,0.8654174,0.36389118
74,0.7085186,0.45923266,0.40476656,0.7520628,0.601814,0.4038503,0.65133834,0.7177674,0.536115,0.6740474,0.85902613,0.55112404,0.751394,0.4479054,0.35775602,0.79281014,0.602647,0.37388104,0.727038,0.71506333,0.4182351,0.83046484,0.83577913,0.41542357
75,0.70912635,0.45891988,0.40296596,0.75270116,0.6011691,0.40154687,0.65123737,0.7176167,0.53633684,0.6736083,0.85956395,0.5538263,0.7513363,0.44757086,0.35929126,0.79249716,0.60230654,0.3765318,0.72716105,0.71514285,0.42377254,0.8302889,0.8353789,0.41095418
76,0.73634696,0.45492065,0.44495225,0.7715399,0.5997618,0.42783022,0.66634,0.71522045,0.50721925,0.7256501,0.84659904,0.41670918,0.76071596,0.44320592,0.4615544,0.80436766,0.6027458,0.45876494,0.74299425,0.7196902,0.3192299,0.8264818,0.8409859,0.5375688
77,0.74858356,0.45317838,0.46251738,0.7826206,0.60278976,0.547602,0.6871128,0.7108449,0.58113974,0.7779763,0.8420775,0.3300313,0.757169,0.44548294,0.45406356,0.8034375,0.60486114,0.525595,0.74828947,0.71915424,0.38198352,0.8318023,0.83993644,0.42415938
78,0.7337904,0.45596677,0.38498494,0.7801466,0.599874,0.49772415,0.7161801,0.7144785,0.38168558,0.82751155,0.8447272,0.36063686,0.7976072,0.44914973,0.55643535,0.819607,0.6016498,0.50840163,0.7089286,0.71772766,0.49699584,0.8201801,0.8353716,0.34253082
79,0.7145085,0.46089065,0.46674654,0.7693919,0.60576046,0.45282808,0.73130053,0.71307963,0.4168707,0.83326435,0.83569944,0.2976485,0.8079602,0.45505378,0.42555243,0.82552093,0.60490805,0.471899,0.7297134,0.7161825,0.5259754,0.8269255,0.82890815,0.47276327
80,0.75111574,0.46357107,0.3658063,0.7902657,0.61524606,0.32648873,0.75310576,0.7176516,0.50194335,0.8472873,0.85370696,0.4201239,0.810315,0.4619167,0.44282794,0.8294891,0.61060625,0.39127874,0.7647011,0.7106568,0.43884024,0.85032314,0.8189833,0.3906174
81,0.75154495,0.46382436,0.3701892,0.7900473,0.6156987,0.33052844,0.75298446,0.7175939,0.50542915,0.84723175,0.8539791,0.418277,0.8104118,0.4621892,0.44142687,0.8293078,0.61097133,0.39202127,0.76437855,0.710569,0.44023168,0.85042876,0.81900305,0.39365834
82,0.7374126,0.46128136,0.30116555,0.75590414,0.60277647,0.28699508,0.7634208,0.7236227,0.27971637,0.85273206,0.85138726,0.3410668,0.8053037,0.4578148,0.35210994,0.80452406,0.60012114,0.23531882,0.78850377,0.7099658,0.3769022,0.85527533,0.82541245,0.43776414
83,0.72996855,0.47468576,0.47074595,0.7483567,0.6134436,0.5135452,0.7841074,0.7290256,0.38683558,0.85047424,0.8504752,0.4486025,0.80962074,0.47482145,0.39068732,0.80311155,0.61132395,0.52399933,0.8121199,0.7220713,0.3581899,0.85696256,0.831465,0.3746582
84,0.7353443,0.46913,0.4483557,0.7611281,0.61084443,0.55058396,0.80697507,0.7422776,0.5551521,0.8737211,0.85136783,0.4033436,0.8308346,0.46817908,0.40976617,0.82660127,0.60942197,0.47243887,0.8173412,0.73590267,0.4823591,0.85236686,0.8329201,0.33828104
85,0.73849666,0.47639865,0.4650449,0.7709984,0.6190424,0.45273066,0.8202859,0.7496463,0.4731616,0.87535447,0.8592441,0.45041317,0.8380608,0.47335264,0.5102953,0.8432925,0.61773014,0.5009532,0.827749,0.7424005,0.51497483,0.8408524,0.8427822,0.2694523
86,0.73058355,0.47863674,0.44318515,0.76636523,0.6230522,0.46580064,0.80737066,0.74195576,0.5061234,0.8551327,0.8512856,0.2589038,0.8426595,0.47777745,0.45958796,0.8475064,0.6236007,0.4639298,0.8338014,0.7396316,0.48576644,0.84774756,0.8375863,0.26091734
87,0.7295784,0.47879633,0.43431774,0.76674485,0.62221545,0.46719927,0.80740726,0.7412261,0.49750987,0.8557571,0.85116017,0.262629,0.8433689,0.4776224,0.45770022,0.8482901,0.62302285,0.464476,0.83496964,0.73955745,0.4975056,0.85336536,0.83634007,0.25492525
88,0.73898375,0.4763353,0.46254838,0.7701781,0.62406147,0.48740616,0.80750275,0.7439546,0.36786717,0.85244054,0.85463774,0.27058205,0.8511412,0.48106593,0.32331097,0.85356617,0.6221621,0.48366323,0.8373675,0.7442844,0.5460284,0.8710995,0.84800744,0.29582083
89,0.74390215,0.47404453,0.48878667,0.76520157,0.62086326,0.5584854,0.8049235,0.74462813,0.37746122,0.84663934,0.8493614,0.31649202,0.85665864,0.47411478,0.47383377,0.853945,0.61561215,0.56660515,0.8422584,0.74368733,0.5356441,0.8725822,0.8471105,0.2938014
90,0.74801147,0.46637648,0.46970043,0.7641489,0.6222552,0.5399392,0.7768723,0.7436254,0.43928155,0.8245744,0.849383,0.39556092,0.8596101,0.47211826,0.5141577,0.8541826,0.62304735,0.46260563,0.8536464,0.74255484,0.5491868,0.88454974,0.8492746,0.39071584
91,0.75434965,0.46998677,0.46466637,0.76416385,0.6365448,0.65276325,0.7422321,0.73126,0.4274137,0.8206445,0.8437943,0.450334,0.8645193,0.4767011,0.44301078,0.8520812,0.63336945,0.6082772,0.85547304,0.74704546,0.49807328,0.88876307,0.84973264,0.40923437
