frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
41,0.69696367,0.44025445,0.513818,0.64929354,0.63044214,0.68735015,0.7053784,0.79617095,0.8187882,0.49619278,0.5298992,0.70833254,0.33235878,0.6574352,0.7627813,0.17114669,0.6997392,0.5112204
42,0.6953254,0.44689584,0.562748,0.6476638,0.63841796,0.7525043,0.7070602,0.79845285,0.794214,0.48998976,0.53972757,0.6378633,0.33667335,0.6545376,0.7947842,0.17083196,0.69315755,0.49093544
43,0.698128,0.45790684,0.50685537,0.6370342,0.64009684,0.77271765,0.70460314,0.7968118,0.7860501,0.49272126,0.54563546,0.6757122,0.34392846,0.66007555,0.6762345,0.17408693,0.6932604,0.5205878
44,0.70001817,0.46348852,0.6278904,0.63590705,0.6446574,0.7636139,0.70604026,0.7966999,0.78610593,0.4900608,0.5516164,0.53053504,0.34262854,0.6582377,0.66040057,0.17488262,0.69940513,0.54357743
45,0.699057,0.47776735,0.4924152,0.6322253,0.6471672,0.76068234,0.7049007,0.7976471,0.76532865,0.48716503,0.5583296,0.50517094,0.346101,0.6708294,0.7135839,0.17548141,0.6999887,0.5972455
46,0.70153713,0.48325527,0.6373947,0.63100743,0.64819616,0.7996655,0.70726174,0.8037888,0.7717595,0.49129054,0.5650641,0.6674676,0.34537518,0.6726885,0.7072593,0.1781151,0.703115,0.64084136
47,0.70110905,0.48677373,0.6221149,0.62648875,0.65368223,0.83995575,0.7014035,0.8000057,0.7356612,0.4859643,0.58399856,0.55169445,0.34264836,0.6638403,0.5766881,0.17849416,0.69730973,0.505899
48,0.7035372,0.5022422,0.74213433,0.6286955,0.6567944,0.83590853,0.7007749,0.8018888,0.77687794,0.4891505,0.5912467,0.66255987,0.34643492,0.6699406,0.5930607,0.1750766,0.6997155,0.54805917
49,0.70659244,0.5144983,0.7478186,0.6305396,0.6586309,0.8236114,0.7004425,0.799778,0.6178394,0.49324054,0.5921369,0.71267366,0.34239143,0.67502946,0.6055296,0.17439416,0.70192015,0.60662466
50,0.7050929,0.52347684,0.81164026,0.6273128,0.657256,0.8273918,0.69732636,0.79402584,0.60603714,0.4948102,0.59429944,0.7266687,0.34365767,0.6773645,0.5954504,0.17374514,0.6957767,0.60600203
51,0.7088138,0.53009224,0.84424955,0.6293035,0.6589594,0.8016635,0.69703925,0.79530114,0.6092144,0.4978174,0.606218,0.6987204,0.34821352,0.68662703,0.60224706,0.17195821,0.69379944,0.6829776
52,0.71285665,0.54089767,0.7418149,0.62646663,0.6725832,0.7580143,0.6963889,0.8003329,0.79406285,0.50580794,0.6128645,0.65131783,0.34652698,0.6873889,0.60085654,0.17346935,0.6944846,0.66725636
53,0.71489024,0.5564175,0.6282386,0.6262949,0.67550814,0.77265775,0.69332093,0.79762,0.64902806,0.49967095,0.6198337,0.65217847,0.34433958,0.6916613,0.755907,0.17504102,0.69084597,0.6997988
54,0.7306061,0.5644944,0.55333877,0.62767065,0.67611146,0.66826457,0.6920079,0.79067963,0.62905735,0.50759196,0.6234286,0.55918396,0.34519678,0.69088805,0.596762,0.17868738,0.69070745,0.6249201
55,0.73292696,0.5744858,0.45381194,0.62657475,0.6791107,0.66588116,0.69115347,0.79116,0.6653395,0.5072904,0.6296092,0.60421276,0.34379536,0.6954235,0.5989947,0.1781321,0.6879145,0.6163398
56,0.733529,0.5888368,0.6518262,0.6212604,0.6753306,0.62349254,0.68849397,0.79222864,0.7227221,0.5057862,0.6268557,0.66465044,0.34323812,0.69369614,0.72995,0.1738371,0.6882864,0.6801818
57,0.7421973,0.6067159,0.4432436,0.62280333,0.6693666,0.60453546,0.68908656,0.7894244,0.6640655,0.5058275,0.64543784,0.586323,0.3382971,0.69606847,0.6477999,0.17695914,0.6870457,0.6777798
58,0.7320411,0.60995114,0.49730933,0.6268608,0.68124145,0.44177526,0.6926031,0.79134387,0.644772,0.5002223,0.64858514,0.6122339,0.33825967,0.6931612,0.6388279,0.18064134,0.69327307,0.6282708
59,0.7204963,0.60140353,0.33483827,0.614244,0.6708919,0.5379566,0.6764661,0.79602545,0.504097,0.4960584,0.6521379,0.61493003,0.33943063,0.69626284,0.7141372,0.17822203,0.6902727,0.67608005
60,0.70906687,0.6236038,0.13538499,0.6193201,0.6608472,0.23083466,0.6839589,0.7860734,0.55981195,0.5045512,0.6620327,0.4361988,0.34154296,0.69793797,0.62663615,0.17950992,0.686293,0.63619053
61,0.7542545,0.6292548,0.5524554,0.62976843,0.6523257,0.2760113,0.6864361,0.78761214,0.634638,0.50358105,0.6557853,0.5954072,0.3365956,0.69617766,0.65108854,0.17683193,0.68775797,0.7038977
62,0.7407977,0.63729465,0.20484272,0.6221413,0.65025926,0.22730783,0.6791773,0.7859397,0.5515904,0.5064805,0.66844505,0.45302793,0.3396486,0.6951076,0.58351976,0.17803556,0.6851804,0.64869875
63,0.7425353,0.63382673,0.49075884,0.6252302,0.6534798,0.30223325,0.677827,0.7862669,0.6691225,0.5005512,0.6681499,0.50537264,0.33267385,0.6967148,0.68323094,0.17764777,0.68537295,0.7176892
64,0.7456368,0.6480873,0.39907822,0.62360615,0.67234385,0.20307657,0.67878336,0.78807247,0.65381664,0.5022892,0.6679284,0.51086956,0.33251595,0.70021474,0.68261826,0.1740868,0.6858823,0.7054094
65,0.7385955,0.6409386,0.4612223,0.62950027,0.6687107,0.20056428,0.67270947,0.7864091,0.6985322,0.4986524,0.6646752,0.54822856,0.33647913,0.70094603,0.66032183,0.17262636,0.68259704,0.72016376
