frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
24,0.51962954,0.3527696,0.49136767,0.5075738,0.45221508,0.2709591,0.48406264,0.5118955,0.35269576,0.5088221,0.5379281,0.5075853,0.53120416,0.6844219,0.67949474,0.5652845,0.8340626,0.5952364,0.44008243,0.35725385,0.54532933,0.4538425,0.4522836,0.22793397,0.46344206,0.5150397,0.31397805,0.45462537,0.5417286,0.522587,0.42836446,0.68766475,0.6957991,0.40340203,0.8366398,0.67210793
25,0.44422278,0.3612963,0.46475,0.40637776,0.28812692,0.40823892,0.4021573,0.20960991,0.205226,0.45918393,0.5517726,0.58219916,0.42892182,0.704002,0.65332264,0.40260285,0.8508167,0.6927092,0.5173129,0.35881063,0.46199554,0.5500995,0.2795959,0.41615632,0.54479873,0.24396472,0.22362143,0.51144725,0.5537137,0.5760454,0.5337462,0.69953007,0.7080928,0.56251085,0.8392984,0.48458415
26,0.46047541,0.3753359,0.38182455,0.45433307,0.33367038,0.1834197,0.43890202,0.2772463,0.10496972,0.4626367,0.56301916,0.42068934,0.43309778,0.7098731,0.49280143,0.4028375,0.84971416,0.55246145,0.50674033,0.37529787,0.24855909,0.5440572,0.2780832,0.26251116,0.5393014,0.2652921,0.1697605,0.5060979,0.56628746,0.4209857,0.5313921,0.7036017,0.40674764,0.5593034,0.8447201,0.39938688
27,0.46134782,0.37850243,0.43237916,0.45460758,0.35876137,0.20353311,0.43886828,0.31184298,0.13472076,0.46842587,0.5673682,0.440449,0.5219049,0.707517,0.40010902,0.55821574,0.8463668,0.30373457,0.50743544,0.37658775,0.28025392,0.5396893,0.41530308,0.1331052,0.53079003,0.2994795,0.107085556,0.50117767,0.57023805,0.4682159,0.52333,0.7072939,0.38167882,0.556832,0.8470465,0.36070162
28,0.48329148,0.3801895,0.3797615,0.4694781,0.39124823,0.177633,0.44838893,0.32869017,0.14746697,0.48817953,0.5708715,0.47907305,0.52635396,0.7089877,0.5264272,0.56037223,0.8445381,0.45142108,0.48627076,0.3826369,0.43437895,0.4950447,0.41532153,0.13856083,0.4890229,0.32435286,0.14409223,0.48613212,0.57349354,0.505329,0.43108338,0.70958936,0.61976296,0.40320355,0.8468243,0.5299667
29,0.5031035,0.38858807,0.3442575,0.48904905,0.43289956,0.20503479,0.49927196,0.3286489,0.13557135,0.49811918,0.5749625,0.49901915,0.53202385,0.7158472,0.5890768,0.5677149,0.8549234,0.4353583,0.4739197,0.38880384,0.3101605,0.4818147,0.43404958,0.18157655,0.3236003,0.39903805,0.30418873,0.48048884,0.5800561,0.4164943,0.4289727,0.7151818,0.6653634,0.40502518,0.8521308,0.50785655
30,0.5074919,0.3839068,0.4051852,0.5033642,0.38831115,0.14345716,0.4988327,0.3120796,0.17078893,0.49903178,0.57599235,0.5089021,0.53273416,0.7132921,0.59287804,0.56739974,0.85614216,0.40540788,0.46173584,0.3808416,0.47435763,0.46953273,0.40536547,0.18707912,0.44989154,0.32472876,0.13493025,0.47345003,0.5817746,0.44404712,0.4283411,0.7157585,0.6960469,0.4068216,0.85100454,0.49508822
31,0.497312,0.3731664,0.34581262,0.47591656,0.31943193,0.1622137,0.47969636,0.28835154,0.12092692,0.49066967,0.5704465,0.46171683,0.5321506,0.7108643,0.50955516,0.56244415,0.84423697,0.3698324,0.4786359,0.3778305,0.37832466,0.5012686,0.35006246,0.16943291,0.4937938,0.29733032,0.15443282,0.48706967,0.5750934,0.37190872,0.4286623,0.71439505,0.5595126,0.40842795,0.8486215,0.39858034
32,0.47312135,0.36237428,0.41548163,0.40912533,0.29425985,0.24544647,0.42131144,0.28029525,0.14661254,0.47929913,0.5604398,0.47156027,0.52959204,0.70038605,0.62677264,0.56289387,0.843512,0.40124765,0.50189435,0.35827953,0.4082516,0.55028313,0.29309067,0.21861087,0.5450201,0.27523547,0.19387202,0.50066733,0.5619014,0.47659326,0.44146723,0.69974446,0.4954694,0.40866512,0.8356031,0.50130546
33,0.48480278,0.36030468,0.35206127,0.55222,0.28845915,0.3898239,0.4882205,0.23206955,0.15621676,0.48892197,0.5599805,0.4741616,0.5307346,0.6956371,0.6422496,0.56016326,0.84035826,0.42092952,0.48794302,0.3637832,0.5436136,0.54572445,0.2976838,0.19336392,0.5410931,0.24027753,0.14453106,0.4974967,0.5609939,0.47340688,0.4393366,0.6979906,0.5505324,0.409865,0.83241034,0.53945756
34,0.5203037,0.32870412,0.6495137,0.57535934,0.2632635,0.41523212,0.56950134,0.1840028,0.495636,0.5167376,0.53966445,0.6293371,0.5415405,0.6887197,0.61560565,0.5612724,0.8442879,0.6186749,0.4331625,0.3360405,0.63585323,0.38361925,0.28759027,0.2897157,0.39000583,0.18109111,0.40180427,0.46144766,0.5444764,0.7416611,0.43262333,0.6924321,0.8120762,0.4111931,0.83232,0.7322716
35,0.52555025,0.31639326,0.7948323,0.56827044,0.27686986,0.38525292,0.57613707,0.1790847,0.6003797,0.5169269,0.5242826,0.6851654,0.53380513,0.6772768,0.87615776,0.5552271,0.84115577,0.60344183,0.43196714,0.3263148,0.73821855,0.3801163,0.27470538,0.4613848,0.36301705,0.18637419,0.46182945,0.46280652,0.5296735,0.78074574,0.43939567,0.6903955,0.7654987,0.41708392,0.8309636,0.8585344
36,0.5318641,0.30570266,0.7359259,0.5861112,0.2549507,0.37630945,0.6065403,0.19880319,0.48426604,0.5149771,0.50884604,0.70910364,0.5321489,0.67679703,0.90301216,0.554332,0.8450184,0.57818615,0.4307651,0.32000393,0.7984602,0.368013,0.2783613,0.43689185,0.34981176,0.20332712,0.5217468,0.45961708,0.51245534,0.64811915,0.44309217,0.68198514,0.7650966,0.4212104,0.83832574,0.84466743
37,0.5381,0.30324864,0.6878756,0.60528105,0.25643462,0.42603305,0.6284704,0.20967361,0.4661056,0.5205691,0.5119262,0.7378798,0.5326167,0.6751143,0.8873683,0.5517004,0.8396436,0.6578906,0.4290037,0.32017368,0.7139955,0.36285007,0.2875675,0.5679033,0.33800942,0.22337312,0.5654738,0.46246085,0.5169185,0.7931,0.44226736,0.67489064,0.8202539,0.42429206,0.8314806,0.6313335
38,0.5458113,0.30426976,0.8070877,0.6052327,0.284536,0.47409323,0.6226064,0.25526962,0.55887014,0.5205186,0.4975574,0.66801435,0.5284983,0.6664854,0.7882842,0.5449326,0.82634974,0.4025823,0.43127117,0.31027645,0.67423856,0.36249793,0.3035925,0.41836292,0.33204988,0.2466143,0.71215457,0.46893567,0.50288016,0.73521316,0.44785857,0.6669976,0.7080722,0.43934804,0.8260743,0.51965326
39,0.54108226,0.3033808,0.6303309,0.61018866,0.32622638,0.34263778,0.6244271,0.2862438,0.46088365,0.52427936,0.4962164,0.64808923,0.5254874,0.6814171,0.7962032,0.53899384,0.8527626,0.66653854,0.43557844,0.3140269,0.7200065,0.36768362,0.32807916,0.5337539,0.3261542,0.2920164,0.60380393,0.47247058,0.50039417,0.678353,0.45535573,0.6809907,0.79164284,0.4455204,0.84692925,0.6212771
40,0.54075766,0.32076707,0.55664384,0.5952902,0.32581598,0.4124795,0.6077991,0.31805384,0.23907225,0.52161443,0.48985404,0.58910257,0.51818824,0.6701971,0.5939559,0.5266839,0.8247559,0.51977974,0.44117293,0.33354124,0.49554002,0.37679648,0.35404372,0.40600273,0.32872546,0.31098863,0.47003612,0.47009978,0.49350524,0.6154159,0.46236128,0.66971684,0.46621817,0.4530623,0.82243085,0.48196477
41,0.5356507,0.32453638,0.28368536,0.6080241,0.35257718,0.4027405,0.6221044,0.35321432,0.35705644,0.52006835,0.48624253,0.49887943,0.50152683,0.6657447,0.41669077,0.51622057,0.81143016,0.14897414,0.4478397,0.32547766,0.5544627,0.3818165,0.37530327,0.38602018,0.33369416,0.37448186,0.3246749,0.47226262,0.48719507,0.5407316,0.47760028,0.66413,0.36494955,0.5025277,0.8231019,0.22574212
42,0.54623175,0.3310635,0.54909986,0.6098845,0.3850529,0.38131797,0.64432925,0.39840907,0.38882646,0.523525,0.49931002,0.46138296,0.5161184,0.6705779,0.49342898,0.5066087,0.83472675,0.3702642,0.44389495,0.3321316,0.4398974,0.38236266,0.3886721,0.45997196,0.33089313,0.40702695,0.30400607,0.47445428,0.49872443,0.49311215,0.47101206,0.67429495,0.45293835,0.47683465,0.8255121,0.27375
43,0.5378913,0.32489592,0.49006772,0.58982635,0.40354455,0.4310099,0.61567307,0.45360085,0.35076198,0.52463573,0.47987804,0.55246115,0.5161836,0.66235554,0.5188662,0.51228195,0.8183644,0.4668425,0.45550916,0.32547042,0.59685576,0.39713073,0.39114475,0.45020726,0.3398553,0.41989118,0.4045053,0.4701117,0.47924992,0.62512714,0.4726759,0.66040605,0.5217555,0.47111684,0.817932,0.4180283
44,0.5349097,0.336559,0.46135977,0.58190024,0.41570958,0.4125814,0.5942681,0.46824467,0.34474543,0.52014947,0.48122916,0.4889751,0.5034181,0.65161633,0.36574125,0.49644145,0.81865996,0.51503515,0.45913798,0.33469582,0.49833947,0.39150012,0.408122,0.32963252,0.44953665,0.48199338,0.43869767,0.46991202,0.48487335,0.56747586,0.48592275,0.64612186,0.3209168,0.49261558,0.81723756,0.4224037
45,0.5289446,0.34235165,0.4865932,0.5687469,0.43130141,0.28763807,0.5722089,0.48892486,0.29197687,0.5164503,0.48800823,0.3952587,0.4993077,0.67157245,0.348122,0.49588573,0.8376064,0.5571452,0.4592069,0.34149176,0.5168255,0.41974407,0.42523047,0.23549542,0.45187148,0.4942226,0.41891763,0.47005254,0.49877286,0.44645277,0.48510203,0.672621,0.3877771,0.4894724,0.835485,0.5089323
46,0.52503663,0.35430428,0.43569514,0.54593736,0.42367768,0.36726066,0.51379347,0.5004445,0.41683084,0.51296127,0.5051192,0.39951396,0.49998474,0.67763734,0.27464962,0.49567336,0.83776736,0.51013863,0.45963287,0.34976315,0.42653888,0.43312347,0.42338824,0.22465579,0.4621644,0.49581552,0.31964245,0.4703765,0.506619,0.39260828,0.48544288,0.68123245,0.39255294,0.48579532,0.83787906,0.41475153
47,0.5235032,0.36772156,0.58317125,0.54637104,0.43997353,0.29094216,0.54889655,0.47421968,0.25104812,0.511209,0.52666426,0.5162303,0.4966017,0.69090813,0.34963143,0.4936059,0.8558253,0.5663634,0.45662898,0.3689295,0.6148505,0.40898845,0.42383754,0.3358645,0.4406091,0.45920312,0.11565975,0.46758938,0.5289452,0.52495575,0.4784504,0.6921696,0.41558573,0.48526725,0.852582,0.5046401
48,0.5126724,0.37729198,0.37704664,0.5086942,0.4392568,0.21917316,0.50786,0.54052496,0.36738282,0.50270116,0.52942336,0.4264406,0.49441037,0.70266867,0.52604586,0.49492377,0.8645842,0.58020914,0.47545487,0.3737193,0.3387882,0.4602825,0.43603015,0.22810148,0.46980655,0.51968896,0.17811516,0.48645613,0.5319223,0.44845694,0.48179722,0.7018142,0.44554064,0.4905162,0.86107445,0.5277298
49,0.50500345,0.38807175,0.3498433,0.49336872,0.45083714,0.17787501,0.50058514,0.54567474,0.30844888,0.48664623,0.5643823,0.34567592,0.4919408,0.7162256,0.44627768,0.4907347,0.8722323,0.5950462,0.49023017,0.38817745,0.24027564,0.49535334,0.47021052,0.1672622,0.49937367,0.5436497,0.2579163,0.4885479,0.5659047,0.3725394,0.47858784,0.7168462,0.42088082,0.4918338,0.86796653,0.5298756
50,0.47545022,0.39494783,0.2991906,0.4572626,0.46305203,0.2084359,0.47705692,0.5290215,0.13209729,0.47973788,0.5724226,0.34625283,0.48669338,0.7177994,0.28564593,0.490373,0.8695581,0.5945327,0.5114147,0.39764166,0.36547035,0.5226433,0.4691208,0.16534768,0.5046886,0.538761,0.12017152,0.5003905,0.5733945,0.31575355,0.4825139,0.7168387,0.37242344,0.49173635,0.86625856,0.5359389
51,0.5094904,0.4013635,0.3425637,0.50438696,0.45042735,0.22346088,0.50896853,0.5723673,0.22663483,0.4934703,0.58400196,0.22587259,0.4901304,0.72660846,0.35238785,0.4904576,0.87046117,0.57151526,0.47790706,0.4013663,0.26514247,0.47548375,0.4481903,0.17564973,0.4931669,0.5771283,0.23326471,0.48542106,0.57901704,0.34339625,0.47686717,0.7261627,0.31751668,0.48823664,0.8673687,0.5190892
52,0.51089233,0.39411923,0.29220524,0.5395893,0.46534377,0.2101105,0.56307197,0.52293324,0.33465552,0.49707353,0.5726284,0.35526,0.49141514,0.72407687,0.4402242,0.49137044,0.8707952,0.5961133,0.46639204,0.39321145,0.39924917,0.4535222,0.45715815,0.2892762,0.47566983,0.56884617,0.2586139,0.47012013,0.57526326,0.41604415,0.4748652,0.7244472,0.40040055,0.48736382,0.8687707,0.40827024
53,0.51730746,0.39562988,0.5433624,0.5528606,0.4860714,0.32163894,0.55641365,0.52188873,0.22619134,0.4947768,0.56830114,0.46498147,0.4945371,0.7260754,0.5204175,0.49341342,0.8702953,0.594767,0.44535965,0.39346784,0.54637074,0.42912006,0.4607428,0.2804796,0.4500118,0.55292356,0.27460706,0.45166177,0.56833434,0.44186893,0.4671292,0.72461796,0.5197147,0.48071706,0.8666896,0.57074547
54,0.5139992,0.3968886,0.5127382,0.5319629,0.48590845,0.24353923,0.4943647,0.54747456,0.28930897,0.4943776,0.5652573,0.42961487,0.4930758,0.72244513,0.5479758,0.4949128,0.87265295,0.5415028,0.4504729,0.3952393,0.37426913,0.42951202,0.4720622,0.23733026,0.45082897,0.551455,0.30210602,0.45540437,0.5669361,0.43509737,0.4603364,0.722183,0.46335295,0.4762077,0.87442935,0.42437577
55,0.5033693,0.3871127,0.45367903,0.5356003,0.4731149,0.32696372,0.51941997,0.5422083,0.23169109,0.49254733,0.56607515,0.3997496,0.48765787,0.7184393,0.5266105,0.4858192,0.87052125,0.50790054,0.44957417,0.3845831,0.45201343,0.42214498,0.46833667,0.29376748,0.4385155,0.55202913,0.20755976,0.45221362,0.5666106,0.40923828,0.46045822,0.7190129,0.46119472,0.4766429,0.8648884,0.3678767
56,0.5090193,0.37079892,0.62107176,0.54644233,0.46831983,0.310551,0.5640563,0.54470676,0.38083336,0.49707782,0.55234647,0.5400093,0.49726486,0.7090415,0.56604075,0.4939261,0.8626939,0.4860584,0.43594193,0.36890242,0.5047368,0.41727123,0.450087,0.37083012,0.42114636,0.5350369,0.23989646,0.4477399,0.5515914,0.524334,0.4585985,0.7088687,0.4867546,0.46594724,0.8603505,0.4187423
57,0.50686544,0.36545843,0.56330407,0.5471465,0.4525792,0.35703924,0.56438327,0.5215173,0.32696733,0.49401015,0.54505754,0.43354627,0.49444097,0.6989538,0.4753847,0.4939217,0.85325074,0.38279742,0.43835127,0.36421677,0.50394195,0.41137812,0.4462508,0.43042332,0.4100461,0.5104202,0.15928987,0.44761634,0.5460918,0.43626904,0.4541745,0.6999707,0.51252335,0.46659943,0.8511424,0.2953068
58,0.5047796,0.3531794,0.44471028,0.54468393,0.44438538,0.31896406,0.5677304,0.49337327,0.37280202,0.48884615,0.52624625,0.41349825,0.49494275,0.6824393,0.43706122,0.4998052,0.8250839,0.2603551,0.4348644,0.35017487,0.42809993,0.41519004,0.43981156,0.32324582,0.43120012,0.5064918,0.26499978,0.4471842,0.52922666,0.4731563,0.4491001,0.6791084,0.44075415,0.46044868,0.83499616,0.3236191
59,0.508124,0.34925538,0.38611722,0.56132424,0.44106644,0.32771575,0.5809759,0.47583205,0.35261607,0.49099553,0.5267877,0.4333971,0.49807173,0.69846344,0.48437944,0.5087085,0.84133136,0.51463956,0.4339416,0.35454953,0.4241726,0.3832265,0.43008608,0.33728558,0.31825435,0.46413743,0.41287744,0.44468427,0.5286341,0.4977615,0.441408,0.69740057,0.40879622,0.44681412,0.8437575,0.3681027
60,0.51305944,0.3506163,0.561074,0.56560844,0.42014882,0.37969282,0.6043512,0.4642592,0.33308485,0.4951083,0.5160421,0.5390671,0.4994899,0.68064255,0.48781878,0.5089935,0.8337865,0.47592363,0.42262936,0.35501575,0.58190805,0.36448407,0.42562816,0.3570433,0.30835187,0.4510461,0.3802602,0.44181627,0.5170611,0.52723867,0.44002807,0.6792809,0.3986345,0.4338002,0.83915615,0.48630103
