frame,shoulder_x,shoulder_y,shoulder_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
99,0.46092412,0.21504474,0.51264995,0.4748368,0.4706019,0.393015,0.44704613,0.697391,0.2701644,0.4624058,0.92285013,0.16926663
100,0.4727355,0.20724311,0.38083392,0.48092744,0.47924304,0.3389906,0.4497711,0.7059841,0.3388296,0.46106386,0.9088596,0.15667827
101,0.46876416,0.20781505,0.5561196,0.47756118,0.4720366,0.37403157,0.4499336,0.70185006,0.4162496,0.4615093,0.89529955,0.15292042
102,0.46083826,0.21264109,0.5104672,0.4731472,0.4785651,0.3797767,0.44981763,0.7099885,0.41421035,0.46205562,0.8929738,0.17869197
103,0.47497094,0.21139708,0.43551308,0.4738189,0.48897323,0.4462501,0.4522304,0.7171459,0.5150789,0.46344256,0.89570296,0.18077525
104,0.47649515,0.20402858,0.3451559,0.48118827,0.47551364,0.38463295,0.44836128,0.65647614,0.19495943,0.4687117,0.7924205,0.07867276
105,0.47572726,0.20648438,0.4126844,0.47573555,0.47511035,0.4669833,0.44803584,0.67980444,0.21182612,0.4615183,0.92167014,0.18142954
106,0.48013306,0.2182849,0.5079577,0.47105318,0.4814926,0.49604043,0.44664702,0.70221686,0.62182856,0.45850652,0.8989791,0.25717816
107,0.464378,0.23022632,0.59703785,0.46157783,0.46903703,0.5664133,0.44085282,0.70136654,0.577682,0.46144557,0.8944699,0.36269182
108,0.465942,0.22219394,0.64673656,0.4623434,0.46388504,0.55136466,0.4375597,0.69937587,0.61524004,0.45994884,0.8923435,0.42317948
109,0.46243495,0.22806083,0.5686001,0.46711406,0.4691121,0.6106128,0.4350365,0.70232284,0.59973115,0.46025932,0.8931501,0.5115515
110,0.4695003,0.22276872,0.7321769,0.4700718,0.4646656,0.68257195,0.4381582,0.70555365,0.66905296,0.46206307,0.8967805,0.5523595
