frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
37,0.52567923,0.3678689,0.005787121,0.44640425,0.5638719,0.005038901,0.3713154,0.55630654,0.0034211248,0.5356111,0.48292103,0.010271434,0.60677826,0.5319712,0.03619581,0.4522852,0.68973833,0.01121037
38,0.52597183,0.36738718,0.005775741,0.4465203,0.56397885,0.0050265198,0.37111518,0.5566724,0.0034010909,0.55391634,0.48459712,0.010397864,0.60690105,0.53240585,0.036716077,0.45141396,0.6899776,0.01109137
39,0.5261553,0.36686164,0.005809835,0.44688562,0.56383413,0.004956346,0.37053555,0.5568122,0.0033676075,0.55511475,0.48424038,0.010789295,0.60689026,0.5329522,0.037678607,0.45065454,0.68988335,0.011229976
40,0.5264421,0.3666189,0.0056362436,0.44739908,0.5638478,0.0048979796,0.37020493,0.55692506,0.0033545084,0.55572224,0.48440525,0.010798974,0.6168644,0.5435566,0.037960935,0.4503345,0.6897963,0.01141757
41,0.5266962,0.36675036,0.005465422,0.57435715,0.5534712,0.022519322,0.36991227,0.5568509,0.0034030003,0.5559657,0.4850157,0.010691912,0.6166473,0.5436123,0.038719874,0.4383606,0.6892145,0.011809148
42,0.52695084,0.36698446,0.005387319,0.5743122,0.565264,0.022880921,0.36968374,0.5569273,0.0033902968,0.57596296,0.50103617,0.009489514,0.61633617,0.5437822,0.03975152,0.4378079,0.68919617,0.011765158
43,0.526732,0.36714643,0.0052126558,0.5744466,0.5663304,0.022712281,0.36937898,0.5571257,0.0033946966,0.5757664,0.5018039,0.009262383,0.60613555,0.54359245,0.040025774,0.43707013,0.68921256,0.011600812
44,0.5285266,0.38345954,0.0061037866,0.44817215,0.5767467,0.004658774,0.38359925,0.55893964,0.003278037,0.5943568,0.5160377,0.008418803,0.60582113,0.5439306,0.0404084,0.43645257,0.6893176,0.011472106
45,0.5285633,0.38356322,0.006001357,0.44806787,0.576584,0.0045747585,0.38335773,0.55887,0.0032680794,0.59438723,0.51625687,0.00823253,0.6062356,0.5438323,0.039924715,0.4362924,0.6892888,0.011470209
46,0.5283983,0.38375092,0.005864177,0.5629801,0.5666946,0.01977125,0.38319895,0.55881643,0.0032215542,0.5944074,0.5160368,0.008393476,0.6064053,0.5439071,0.039953448,0.43615955,0.6890676,0.0114740385
47,0.528432,0.38399658,0.0059016147,0.5628474,0.56672597,0.019855704,0.38289896,0.5586429,0.003188216,0.59454435,0.5163129,0.00836134,0.60648674,0.54400545,0.0396027,0.43579268,0.68901527,0.011484032
48,0.5288025,0.3840648,0.005951913,0.5496198,0.5665201,0.016973872,0.38289857,0.55850184,0.003240171,0.6128973,0.530603,0.007569715,0.6067676,0.5437075,0.039245464,0.4356901,0.68893677,0.011370702
49,0.5289738,0.3841665,0.0059894444,0.4680239,0.5768114,0.0052031134,0.38314176,0.55841404,0.003257708,0.6131345,0.53106666,0.007513987,0.60695666,0.5434419,0.03912111,0.43581626,0.68878806,0.011207607
50,0.5289917,0.3844452,0.0060419017,0.46797884,0.5768016,0.005218225,0.38331044,0.5583548,0.0032644423,0.61299324,0.5315114,0.0074432916,0.6069849,0.5431916,0.039107796,0.43597195,0.6886885,0.011161078
51,0.53081226,0.40253356,0.007264425,0.46789035,0.5768978,0.0051509514,0.3847419,0.5737821,0.0036805577,0.61521226,0.5452349,0.006385676,0.6176153,0.54312265,0.039687905,0.43612123,0.68858933,0.011134874
52,0.5308431,0.40291387,0.007401133,0.46756765,0.5769073,0.0050290967,0.38479272,0.5737436,0.003644965,0.61529356,0.54557246,0.0063002165,0.6178191,0.54304695,0.039852664,0.43636277,0.68850875,0.011160484
53,0.5307937,0.4028478,0.0073527563,0.46760815,0.5767995,0.0049365144,0.3846895,0.5736871,0.0035863514,0.61565906,0.5456085,0.006276894,0.6181548,0.543558,0.041259803,0.43635714,0.68851423,0.011129163
54,0.53056514,0.40279943,0.007319777,0.4675869,0.5765957,0.0048895427,0.3847287,0.57367617,0.003597923,0.61544335,0.54583687,0.0062402682,0.6184316,0.54379165,0.04122724,0.43643087,0.68823135,0.01116412
55,0.5306188,0.402828,0.0073420308,0.46745968,0.57668906,0.004894079,0.38495094,0.5736539,0.0035772945,0.61569715,0.54642445,0.0061221863,0.61868644,0.54396045,0.041159656,0.4365842,0.6880834,0.010998768
56,0.5306488,0.40301454,0.0074261194,0.46727464,0.576798,0.0048313304,0.38487515,0.57361615,0.0035512315,0.6159114,0.54683167,0.0060138316,0.6190057,0.54390967,0.04066489,0.43632114,0.673312,0.011808318
57,0.53046787,0.4031633,0.007501807,0.46708906,0.57671887,0.004863712,0.38495076,0.57347596,0.0035886632,0.6158671,0.5470686,0.005986955,0.61894417,0.5439899,0.040449936,0.43643185,0.6732299,0.01185855
