frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
30,0.5077551,0.4074021,0.0073600654,0.521738,0.59848136,0.0030059502,0.6052511,0.5205373,0.04563758,0.46699536,0.64331657,0.020671183,0.58667105,0.46897468,0.014535545,0.5313772,0.5157208,0.011753548,0.59709835,0.5212204,0.057982735,0.44921106,0.79757714,0.0058231642
31,0.5074441,0.4074349,0.0074187317,0.5214298,0.5985079,0.0030085067,0.6052049,0.5206189,0.045258205,0.46719712,0.6434086,0.020950863,0.58639705,0.469012,0.014580694,0.53116685,0.51572675,0.011683096,0.5970476,0.52132356,0.057568103,0.44931334,0.79754853,0.005832818
32,0.50718224,0.40747195,0.007479912,0.52121174,0.5985486,0.0030013337,0.605219,0.52062124,0.044849135,0.46723482,0.64350855,0.021133512,0.586215,0.46904683,0.014604673,0.51359993,0.5143539,0.01210343,0.59711605,0.5213329,0.057134222,0.4494047,0.79746056,0.005880423
33,0.50718313,0.40747702,0.007482734,0.52121407,0.59856343,0.0030042506,0.6052124,0.52062607,0.044896472,0.467245,0.64350295,0.021139609,0.5862092,0.4690637,0.014620698,0.51360095,0.51436794,0.012102792,0.5971067,0.52133745,0.057195507,0.44941834,0.7974571,0.0058766827
34,0.50705016,0.40752614,0.007463313,0.5210671,0.59857804,0.002993741,0.605213,0.52069724,0.04458394,0.4672787,0.64362484,0.021295829,0.58615655,0.469112,0.014576009,0.53094333,0.5156773,0.011611396,0.59712464,0.52141416,0.056835104,0.44949016,0.797428,0.0059017185
35,0.5069568,0.4076238,0.0074863574,0.5207851,0.5985619,0.002981272,0.60519856,0.52062005,0.044149376,0.46724644,0.643655,0.021347733,0.5861686,0.46914682,0.014540922,0.5308505,0.51558304,0.0115977675,0.5971784,0.5213421,0.05642346,0.44951543,0.797353,0.0059225545
36,0.5091821,0.42383876,0.008730729,0.52074355,0.59861135,0.0029663106,0.6051742,0.5206099,0.04404273,0.46722645,0.64370733,0.021358829,0.58617115,0.46915683,0.0145170465,0.5308754,0.515543,0.011599933,0.5971383,0.5213129,0.05629267,0.44952437,0.7973148,0.005920371
37,0.50916415,0.42386973,0.008745631,0.5206463,0.5986413,0.0029651474,0.60516596,0.52058357,0.043889463,0.4671899,0.64372575,0.02143333,0.5861553,0.46916103,0.01452576,0.5308319,0.5155203,0.011598346,0.5971236,0.5212864,0.056133725,0.4495294,0.79727906,0.0059411144
38,0.509138,0.42392224,0.0087547265,0.5205981,0.5986648,0.0029615262,0.6051832,0.5205431,0.043713782,0.46717313,0.6437255,0.02141045,0.5861881,0.4691961,0.014517959,0.5308021,0.5155391,0.011564412,0.59715223,0.52124435,0.055955548,0.4495567,0.7972725,0.00594252
39,0.5091534,0.42392242,0.008748645,0.5206053,0.59865904,0.0029590323,0.6051834,0.52054566,0.043731574,0.4671758,0.6437222,0.021391721,0.58619905,0.46919674,0.014516051,0.5308126,0.5155389,0.011562002,0.597158,0.52125084,0.055974267,0.4495517,0.7972799,0.005936813
