frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
35,0.5063572,0.365306,0.0021030135,0.5660404,0.59890676,0.0016903122,0.60771483,0.53078824,0.025507335,0.4345832,0.72494537,0.012001917,0.58801126,0.47196752,0.00835485,0.70762426,0.5827547,0.017459882,0.59933424,0.51156914,0.034849852,0.41085958,0.86118037,0.0040933248
36,0.5063887,0.36537617,0.0021270763,0.5659805,0.5990631,0.0016878637,0.6075885,0.53080505,0.025509998,0.4345511,0.7249215,0.011947346,0.5880824,0.47195545,0.008318174,0.7076313,0.5828969,0.017387675,0.5992748,0.511488,0.034679793,0.4108779,0.8612246,0.004083917
37,0.5063899,0.36529708,0.0021297936,0.5657885,0.5991626,0.0016780698,0.6074912,0.5308238,0.0252829,0.43451497,0.72490865,0.011941971,0.5881112,0.47196576,0.008270303,0.70762134,0.5830142,0.017349541,0.5992389,0.51144606,0.03427656,0.41087976,0.8612077,0.004077832
38,0.506399,0.36528942,0.0021473966,0.5657299,0.5992355,0.0016678282,0.6074539,0.53084135,0.025110569,0.43454438,0.72491246,0.0119569795,0.5881721,0.4719531,0.008230203,0.70766574,0.5830773,0.01728767,0.59927267,0.5114008,0.034030806,0.41083342,0.8611585,0.004051847
39,0.5064372,0.3652551,0.0021481088,0.56570697,0.5992489,0.0016634197,0.6074639,0.5308732,0.025114799,0.43455347,0.7249285,0.011955205,0.5881872,0.4719436,0.008226281,0.7076672,0.58306926,0.017313734,0.5992987,0.5114324,0.03404763,0.41081506,0.8611606,0.0040503214
40,0.50649256,0.36521718,0.0021449723,0.56570894,0.59926915,0.0016621783,0.6074496,0.530856,0.025236899,0.43452942,0.72498995,0.011999452,0.5882731,0.47190398,0.008228144,0.7077034,0.5830193,0.017230272,0.59931093,0.5114349,0.03415783,0.41079107,0.8611324,0.0040396927
41,0.50651497,0.3651489,0.002144859,0.5659758,0.59925735,0.0016784676,0.60741633,0.5308916,0.025533466,0.43457934,0.7248492,0.011970784,0.5883315,0.47193214,0.008238424,0.7077672,0.5829545,0.017176073,0.59923893,0.5115202,0.034636777,0.41074243,0.86106336,0.004036536
42,0.5065332,0.3651178,0.0021352058,0.56616324,0.59921104,0.0017111566,0.6074923,0.53096956,0.02608733,0.43467316,0.72461957,0.011951201,0.58834505,0.47208467,0.0083046025,0.7077207,0.58297664,0.01725402,0.5992753,0.5117555,0.035510212,0.4106646,0.86097646,0.004069701
43,0.5065435,0.3651782,0.0021176895,0.5666119,0.59901446,0.0017131192,0.60780454,0.53093475,0.026503436,0.4345061,0.7248139,0.01186598,0.58939695,0.4583422,0.00750664,0.70777607,0.5827858,0.017233625,0.59954256,0.5117928,0.03617167,0.41069674,0.86074984,0.004226814
44,0.5068427,0.36511528,0.0020890585,0.56717753,0.59880555,0.0017243859,0.60805625,0.5308385,0.026888562,0.4344125,0.7247051,0.011824264,0.5894882,0.4585172,0.007667638,0.70785815,0.58261895,0.017136607,0.61001414,0.51070863,0.038154513,0.4107064,0.8604623,0.004298496
