frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
32,0.51034856,0.38309774,0.0027091766,0.4213878,0.56004995,0.0026693859,0.35600486,0.5551466,0.0027457164,0.57284844,0.60004634,0.0013647368,0.62235564,0.52963626,0.021548584,0.4241159,0.7063924,0.013507816,0.5507192,0.48193142,0.007623097,0.5549796,0.5606882,0.005298542,0.47254756,0.6085342,0.0037389903,0.7180719,0.64344054,0.01485036,0.6012065,0.5076951,0.030330969,0.416658,0.6912449,0.014543642
33,0.5103437,0.3830864,0.0027063347,0.42136475,0.5600544,0.0026653176,0.35599595,0.5551349,0.0027451706,0.572852,0.6000352,0.0013639915,0.6223576,0.52964014,0.021535156,0.42411512,0.7064003,0.013506037,0.5507322,0.48192975,0.007607684,0.5549875,0.5606898,0.0052956394,0.47255698,0.60852164,0.0037362739,0.71806693,0.6434513,0.014838611,0.6012217,0.507706,0.030299168,0.41665626,0.6912525,0.014537383
34,0.5102088,0.38307855,0.0027172132,0.42115,0.5600221,0.002611936,0.35578078,0.5549181,0.0027412025,0.57297325,0.5999424,0.0013457662,0.6222702,0.529643,0.02127466,0.42422718,0.7064521,0.013455633,0.5508099,0.48187226,0.007382632,0.55505073,0.56060797,0.0051967567,0.47257262,0.6084847,0.0036787954,0.71803963,0.64362866,0.014635908,0.6013354,0.5077866,0.029948603,0.4166955,0.69130546,0.014506646
35,0.49148485,0.38253224,0.0022869557,0.42106652,0.5600134,0.002599663,0.35578668,0.55482334,0.002738543,0.57299346,0.5998961,0.001331665,0.6222557,0.5296706,0.021170672,0.42433622,0.7064577,0.0133916065,0.5507427,0.48176715,0.007295705,0.55505705,0.5605905,0.005155599,0.47256035,0.6085251,0.0036241799,0.71813434,0.6437691,0.014458245,0.6013684,0.5078481,0.029828759,0.4167715,0.6912997,0.01448717
36,0.5102881,0.3830612,0.0028298793,0.42114398,0.5600729,0.002631872,0.35598943,0.5548799,0.0027306005,0.572886,0.59983253,0.0013278916,0.62220335,0.52960294,0.021007393,0.42446634,0.7064935,0.013341161,0.58936316,0.4543682,0.0056456286,0.5549055,0.56043065,0.005131569,0.47252667,0.60856766,0.0036453095,0.71821755,0.64389026,0.014316869,0.601209,0.50771785,0.0296374,0.415224,0.67621964,0.016084926
37,0.51032186,0.38320667,0.0028832466,0.42100197,0.560014,0.0026122737,0.356101,0.55483794,0.0027319214,0.5728142,0.5997421,0.0013111703,0.62214077,0.5294807,0.020683547,0.42478842,0.7065154,0.0133336745,0.48750538,0.5115434,0.009298185,0.55481696,0.5602209,0.005055898,0.47234586,0.6088047,0.003563928,0.71836895,0.6440457,0.014123403,0.6010414,0.50762993,0.029232904,0.41544688,0.6761983,0.01616083
38,0.51034915,0.3832232,0.0028851226,0.4210556,0.5599833,0.002592466,0.35616928,0.5547721,0.0027133322,0.5728499,0.5998023,0.0013093326,0.62204766,0.5294796,0.020564105,0.42521948,0.7065106,0.013173734,0.4877334,0.5116048,0.009283851,0.55492085,0.56018955,0.005045589,0.47253945,0.60910785,0.0035539067,0.71849525,0.64414436,0.0139494445,0.60088134,0.5077307,0.028976563,0.4174761,0.6912871,0.014453883
39,0.51034164,0.3832206,0.0028815293,0.42104766,0.5599892,0.002584479,0.35614988,0.5547582,0.0027103985,0.57283944,0.59979147,0.0013078988,0.62204933,0.52948225,0.02058477,0.42523903,0.7065057,0.013162945,0.5893314,0.45420823,0.0055904873,0.55491936,0.5602124,0.0050525554,0.4725691,0.6091173,0.0035519283,0.7184897,0.6441593,0.01393286,0.60089976,0.50775146,0.029017555,0.41750082,0.69127584,0.014453597
40,0.51017463,0.383243,0.0028855067,0.4211755,0.559962,0.00258339,0.35605946,0.5547131,0.0026876775,0.5727612,0.5998179,0.0013207915,0.6219086,0.52954733,0.02061572,0.43682712,0.7085241,0.012387587,0.46786696,0.5120577,0.009799609,0.554895,0.56028533,0.0051035704,0.4727985,0.6095314,0.003558917,0.7206293,0.62958413,0.013772274,0.60066044,0.50792336,0.029008098,0.42035797,0.7079102,0.012842462
41,0.51031923,0.38331303,0.0028707394,0.42141315,0.5599627,0.0026142686,0.35608026,0.570683,0.0029528658,0.57256985,0.6000504,0.0013391301,0.6217768,0.529565,0.02098716,0.437332,0.70850676,0.012423744,0.5980849,0.35927406,0.001575783,0.5550935,0.5605183,0.0051926146,0.47301522,0.6098872,0.0035886683,0.7206986,0.6297611,0.013472964,0.6005428,0.5080585,0.029758805,0.4208945,0.707868,0.012800922
