frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
23,0.51013577,0.425406,0.008490881,0.4281305,0.5721434,0.0066537503,0.37743562,0.55519146,0.0040939054,0.5248619,0.613235,0.002331546,0.60649025,0.5201895,0.04270919,0.4676063,0.68700683,0.01522256,0.60238063,0.47008276,0.0143409,0.57032675,0.5724681,0.0074459333,0.49065566,0.6184204,0.0072825626,0.5689011,0.6168791,0.0026931881,0.5987695,0.5207335,0.0567969,0.43944594,0.79823554,0.0047406955
24,0.51006037,0.42527312,0.008603634,0.4280451,0.5722252,0.0065591517,0.3773084,0.5551758,0.0040547037,0.5249561,0.6132158,0.0023059717,0.60654485,0.5201218,0.04252601,0.46756536,0.6870798,0.01513812,0.602437,0.46988654,0.01429597,0.57036686,0.5724654,0.0073436196,0.49077886,0.61840737,0.007200258,0.5689518,0.6167905,0.0026752572,0.59881973,0.5206284,0.056630287,0.43768537,0.7794793,0.0056364276
25,0.5100232,0.42512596,0.008747075,0.4280454,0.5722518,0.0065833754,0.37742847,0.5552542,0.0040581,0.5249584,0.6132213,0.0023078145,0.6065464,0.52007174,0.04271585,0.46755618,0.6870679,0.015180756,0.6024158,0.4697973,0.014411987,0.5703812,0.5725522,0.0073793544,0.49075907,0.6183817,0.0072303265,0.568954,0.6168186,0.0026755815,0.5988338,0.5205635,0.05683598,0.4393291,0.79815745,0.0047295047
26,0.51002324,0.4250939,0.008807244,0.4279977,0.57230735,0.006582889,0.37745443,0.555261,0.004052848,0.5249753,0.613261,0.0022980396,0.60657144,0.52003425,0.04275477,0.4675483,0.6870693,0.015174882,0.60241383,0.4697783,0.014467115,0.5704107,0.5725824,0.007382513,0.49074864,0.61838734,0.007199157,0.56900704,0.61685455,0.0026659505,0.5988473,0.52050865,0.05686788,0.43933114,0.798141,0.0047242553
27,0.5100302,0.42508835,0.008812112,0.42798448,0.5723223,0.0065767076,0.37745595,0.5552603,0.0040485505,0.5249914,0.6132658,0.0022995204,0.6065714,0.5200361,0.042770006,0.46755198,0.6870692,0.015158928,0.6024157,0.4697813,0.014478296,0.5704195,0.5725797,0.007380392,0.49075103,0.61838454,0.0072001964,0.56901944,0.61685646,0.00266832,0.5988507,0.5205103,0.056894254,0.4393348,0.79813975,0.004723684
28,0.50991535,0.42511111,0.008879291,0.42808276,0.5723278,0.006670826,0.37768394,0.55537546,0.004049704,0.52485216,0.6133102,0.0023147725,0.6066068,0.5200064,0.0428818,0.46752685,0.68699807,0.01524565,0.6023737,0.46992803,0.014605853,0.5704191,0.57268226,0.0074632,0.4905854,0.6183458,0.0072861593,0.5689716,0.61699456,0.0026693644,0.5988645,0.5204934,0.056973208,0.4393595,0.7981415,0.004733194
29,0.5099306,0.42510626,0.008875166,0.42802006,0.57233346,0.006651615,0.37766236,0.5553955,0.0040428056,0.5248864,0.6133145,0.002300667,0.60661966,0.5199819,0.042778324,0.46752048,0.68703496,0.015201165,0.6024018,0.46992254,0.014511195,0.5704538,0.5727242,0.0074624736,0.4905966,0.61827636,0.007250494,0.56899697,0.6169962,0.0026600666,0.5988744,0.52046055,0.056783106,0.43936023,0.79812646,0.004730014
30,0.5099145,0.42507035,0.008923199,0.42806965,0.5723316,0.0066254716,0.37761456,0.55540925,0.004041792,0.52492344,0.61331224,0.0022918002,0.60660267,0.5199128,0.042751905,0.46755788,0.6870628,0.01518994,0.6024091,0.46992627,0.014525508,0.5704534,0.5727727,0.007469893,0.49063867,0.6181962,0.007247762,0.56902725,0.617004,0.0026442911,0.5988495,0.52039075,0.056745175,0.43937954,0.7981519,0.0047228653
31,0.50987834,0.4251826,0.008873782,0.4279881,0.5723049,0.00661091,0.37755993,0.55536765,0.00405274,0.52501553,0.6133445,0.0022783915,0.6066265,0.5199106,0.042529356,0.46759307,0.6870952,0.015130302,0.6024027,0.46999753,0.014415176,0.5704649,0.57280415,0.0074400716,0.4907321,0.6182385,0.007209406,0.5690781,0.6170215,0.002632787,0.5988588,0.52038026,0.05649429,0.43936643,0.7981468,0.0047189263
32,0.5098102,0.4252329,0.008871699,0.42795387,0.57229465,0.0065588555,0.37740323,0.55530185,0.004043762,0.52513033,0.6133516,0.0022475754,0.6066509,0.51987803,0.042128664,0.46760806,0.6871967,0.015043307,0.6024521,0.46994177,0.014174477,0.570492,0.57283175,0.0073419297,0.49088746,0.6182428,0.0071365666,0.5123433,0.51419395,0.010871889,0.5988805,0.5203148,0.05600193,0.43932477,0.7981801,0.004707738
