frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
37,0.51330113,0.42485422,0.010076489,0.42877817,0.573723,0.0067146034,0.37724516,0.5546511,0.003763284,0.5244237,0.61268073,0.0019957668,0.6066482,0.5205437,0.048339654,0.46711424,0.68636566,0.015545962
38,0.51333535,0.42468938,0.00998293,0.42873573,0.5737927,0.0066841864,0.37722078,0.5546365,0.0037664566,0.5244874,0.6126159,0.0019830877,0.6067336,0.5205747,0.04872369,0.4670373,0.68639094,0.015483662
39,0.5133409,0.42447978,0.009802057,0.42871013,0.57387793,0.006634211,0.37718368,0.55460405,0.0037578766,0.5245232,0.6125576,0.001965245,0.60686016,0.52055854,0.04905422,0.46691433,0.6864366,0.015395642
40,0.5132722,0.42420062,0.00956363,0.42862254,0.57397574,0.0065577347,0.3766914,0.53923696,0.0033935579,0.5245011,0.6124158,0.0019400156,0.6069552,0.5205776,0.049297635,0.46677107,0.68648267,0.015303287
41,0.5132299,0.42392448,0.009433554,0.42852998,0.5740669,0.00650467,0.37665778,0.53924567,0.0033805233,0.5244709,0.61234426,0.0019273207,0.60705346,0.52056617,0.04987723,0.46662635,0.6864926,0.015202829
42,0.5131652,0.42379355,0.009331627,0.42855355,0.5741033,0.0064985836,0.3766858,0.53928906,0.0033808688,0.5244257,0.61235857,0.0019400305,0.6071315,0.52053344,0.05064121,0.46649534,0.68644226,0.015166519
43,0.51299256,0.42376134,0.009193763,0.4285587,0.5741086,0.006481814,0.376729,0.539319,0.0033690115,0.49522996,0.49484727,0.009568569,0.60717684,0.5204743,0.05117688,0.46631655,0.6863945,0.015060012
44,0.5128535,0.4237836,0.009180147,0.4446802,0.5741586,0.0070739994,0.37677488,0.5393522,0.0033483412,0.5243579,0.6124344,0.001966813,0.6072142,0.52037555,0.0518721,0.46614143,0.6863689,0.014937766
45,0.51265335,0.42390513,0.009187718,0.44478646,0.57417595,0.007143638,0.37720028,0.55478364,0.0036918728,0.52423465,0.6125286,0.0020056684,0.6070996,0.5203165,0.05238092,0.46601927,0.68634266,0.014804549
46,0.5125731,0.4239285,0.00912606,0.44490403,0.57421297,0.007137607,0.39261243,0.55639166,0.0039546858,0.52437496,0.6126688,0.0020225267,0.60714465,0.52029777,0.05288323,0.4658385,0.68636256,0.014649951
